"","topic1","topic2","topic3","topic4","topic5","project","projecttype"
"cdowiki",0.996136419337522,0.00155852555359884,0.000583968494203948,0.00166065865191841,6.04279627566697e-05,"cdowiki","Wikipedia"
"cebwiki",0.00173144808179943,0.273320100350268,0.72390128090569,2.88048866163692e-05,0.00101836577562646,"cebwiki","Wikipedia"
"cewiki",0.234604006754701,0.763681722299737,0.00131316521466381,0.000272415586143846,0.000128690144754156,"cewiki","Wikipedia"
"chowiki",0.958847079085846,0.0360783672698348,0.00257950901067493,0.00143676282900282,0.00105828180464181,"chowiki","Wikipedia"
"chrwiki",0.99183205212829,0.00655521058742148,0.00115399271896551,0.000345319813223555,0.000113424752099556,"chrwiki","Wikipedia"
"chwiki",0.983224054441562,0.0104952633778285,0.00518268123631945,0.000206923864251445,0.000891077080038815,"chwiki","Wikipedia"
"chywiki",0.827901321664655,0.156449617969037,0.0150137905419566,0.000367309420716413,0.000267960403635067,"chywiki","Wikipedia"
"ckbwiki",0.829734692961289,0.168690392073989,0.000680496877325572,0.000813529338292102,8.08887491042749e-05,"ckbwiki","Wikipedia"
"commonswiki",0.0372180586328847,0.280166596509142,0.681267528104729,5.77434917004583e-05,0.0012900732615433,"commonswiki","Commons"
"cowiki",0.0572548418413606,0.937109194360457,0.00101339828958919,0.000194740686193129,0.0044278248223996,"cowiki","Wikipedia"
"crhwiki",0.424562489967874,0.564278619806747,0.00872750985697975,0.00111096991557351,0.00132041045282567,"crhwiki","Wikipedia"
"crwiki",0.668783437346743,0.320675345042618,0.00727127157839459,0.00271914913969329,0.000550796892551517,"crwiki","Wikipedia"
"csbwiki",0.00057902974925022,0.994903451692415,0.000365404169931174,2.21708327970088e-05,0.00412994355560669,"csbwiki","Wikipedia"
"cswiki",0.00822471710095823,0.388806537025837,0.586825069367711,0.0152780662273337,0.00086561027816059,"cswiki","Wikipedia"
"cswikibooks",0.939046168637122,0.0437777369432138,0.00512099806787211,0.0111673092005921,0.000887787151199688,"cswikibooks","Wikibooks"
"cswikiquote",0.951717847512933,0.00723631198970728,0.000927437362670248,0.00433173196817697,0.0357866711665122,"cswikiquote","Wikiquote"
"cuwiki",0.966411291055384,0.0221851843911259,0.0101627883214402,0.000724206044009923,0.000516530188040504,"cuwiki","Wikipedia"
"cvwiki",0.00126916326128968,0.992566459129592,0.000272629345888042,0.000516416759729895,0.00537533150350032,"cvwiki","Wikipedia"
"cywiki",0.00884890406345076,0.0217364438622599,0.956983853935161,0.0124306398365117,1.58302617001772e-07,"cywiki","Wikipedia"
"dawiki",0.000500112017152095,0.542680241987061,0.454551802090008,0.00075989904726247,0.00150794485851675,"dawiki","Wikipedia"
"dawikiquote",0.997894736842105,0.000526315789473968,0.000526315789473728,0.000526315789473689,0.000526315789473693,"dawikiquote","Wikiquote"
"dewiki",0.0134339148474041,0.281316638478328,0.696100309958295,0.0082783214332281,0.000870815282744052,"dewiki","Wikipedia"
"dewikibooks",0.174601185735027,0.212051370415551,0.590484574063758,0.013262217205676,0.00960065257998877,"dewikibooks","Wikibooks"
"dewikinews",0.997894736842105,0.000526315789474059,0.000526315789473684,0.000526315789473825,0.000526315789473693,"dewikinews","Wikinews"
"dewikiquote",0.68377509672066,0.30288315349495,0.00066945993909599,0.000698560163818416,0.0119737296814752,"dewikiquote","Wikiquote"
"dewikisource",0.891385743872227,0.0261303423485051,0.0135058128771594,0.0670799856525571,0.00189811524955184,"dewikisource","Wikisource"
"dinwiki",0.979782543788487,0.0183828098581529,0.000694112621388009,0.000556930103742958,0.000583603628229225,"dinwiki","Wikipedia"
"diqwiki",0.677378791995768,0.295655012953631,0.00328965354339692,0.0235240702699261,0.000152471237278042,"diqwiki","Wikipedia"
"dsbwiki",0.00325632639807772,0.99577764877037,0.000378394059784388,0.000536257534817078,5.13732369507757e-05,"dsbwiki","Wikipedia"
"dtywiki",0.971566849479031,0.0132568470488281,0.00701782938384164,0.00747173885400972,0.000686735234289985,"dtywiki","Wikipedia"
"dvwiki",0.715705824903837,0.00336178252506323,0.28064140843318,0.00011875478787151,0.000172229350048981,"dvwiki","Wikipedia"
"eewiki",0.982912891054937,0.0101580217429553,0.00386980751472651,0.00230483528690872,0.000754444400472433,"eewiki","Wikipedia"
"elwiki",0.21809023788912,0.567579577190252,0.20824660351274,0.00608280265381841,7.78754069968565e-07,"elwiki","Wikipedia"
"elwikiquote",0.578907561071962,0.0493788831248281,0.000265091992364629,0.370299993848077,0.00114846996276747,"elwikiquote","Wikiquote"
"emlwiki",0.629208669242362,0.335736261832401,0.00176209268030572,0.00493603364651684,0.0283569425984138,"emlwiki","Wikipedia"
"enwiki",0.000347853339838692,0.00100153573778548,0.0010602534137274,5.64303217774601e-05,0.997533927186871,"enwiki","Wikipedia"
"enwikibooks",0.955160095839321,0.026214359520571,0.0165660067596029,0.000845774651085888,0.00121376322941939,"enwikibooks","Wikibooks"
"enwikinews",0.980520092412237,0.0163521722884687,0.000364199372199327,0.00212453979501131,0.000638996132083274,"enwikinews","Wikinews"
"enwikiquote",0.885972831577026,0.0879260319119896,0.00130188016865881,0.000604373788782563,0.0241948825535432,"enwikiquote","Wikiquote"
"enwikisource",0.328510859161102,0.413457288761341,0.254013719577836,0.0017864509436576,0.00223168155606304,"enwikisource","Wikisource"
"enwikivoyage",0.904638537870843,0.0843824564567182,0.00845344130934092,0.000933899793942861,0.00159166456915545,"enwikivoyage","Wikivoyage"
"eowiki",0.0155033652369726,0.399330856271747,0.582974290638406,0.00134340708705052,0.000848080765824725,"eowiki","Wikipedia"
"eowikibooks",0.00052631578947405,0.000526315789473893,0.000526315789473684,0.997894736842105,0.000526315789473689,"eowikibooks","Wikibooks"
"eowikinews",0.447659688258166,0.393838829258474,0.136508011616136,0.0132055469364703,0.00878792393075342,"eowikinews","Wikinews"
"eowikiquote",0.794517092837744,0.166731714761315,0.00236352198925355,0.00255661060625851,0.0338310598054287,"eowikiquote","Wikiquote"
"eswiki",0.00799614554175381,0.262765072492541,0.720976616273091,0.00741761711925389,0.00084454857335999,"eswiki","Wikipedia"
"eswikiquote",0.980804316150222,0.00467963420596127,0.00038452077376061,0.0138772015548388,0.000254327315216996,"eswikiquote","Wikiquote"
"etwiki",0.00774974338012173,0.745330089888282,0.24506486932613,0.00022169350867763,0.00163360389678893,"etwiki","Wikipedia"
"euwiki",0.00459080501130365,0.316625581148007,0.671163164986685,0.00651553903664557,0.00110490981735871,"euwiki","Wikipedia"
"extwiki",0.448334607748608,0.547795238492426,0.00158547940240626,0.00200951023925732,0.000275164117301916,"extwiki","Wikipedia"
"fawiki",0.00224599349812504,0.288609471925182,0.705557295873481,0.00267154295959649,0.000915695743616023,"fawiki","Wikipedia"
"fawikiquote",0.945322213817661,0.0238073636711703,0.00436782471155586,0.000300303848598232,0.0262022939510146,"fawikiquote","Wikiquote"
"fawikivoyage",0.958234147956196,0.0273379514742696,0.0111602847197869,0.00177000456558958,0.00149761128415781,"fawikivoyage","Wikivoyage"
"ffwiki",0.973155252671744,0.0230584817948176,0.00106480270186298,0.00180347932965693,0.000917983501918768,"ffwiki","Wikipedia"
"fiu_vrowiki",0.362783985908281,0.634089254861692,0.000775560850308979,0.0021773752187372,0.000173823160980361,"fiu_vrowiki","Wikipedia"
"fiwiki",0.00298473916814014,0.338073631227052,0.654953134545604,0.00301773111368946,0.00097076394551545,"fiwiki","Wikipedia"
"fiwikibooks",0.273025451917625,0.340012118880141,0.375599581886802,0.00242597778191035,0.0089368695335211,"fiwikibooks","Wikibooks"
"fiwikiquote",0.0262769861916981,0.958863660120529,0.00703327946264247,0.00636975924600744,0.00145631497912254,"fiwikiquote","Wikiquote"
"fiwikisource",0.496780676486165,0.497379013011134,0.00289422795753708,0.00108810706898637,0.00185797547617698,"fiwikisource","Wikisource"
"fjwiki",0.883024324916156,0.00377795225853111,0.109955651503401,0.00255426703747569,0.000687804284436217,"fjwiki","Wikipedia"
"fowiki",0.00158982229339772,0.994629374530496,0.00140094618333518,0.00018789713344728,0.00219195985932404,"fowiki","Wikipedia"
"frpwiki",0.399766316528356,0.592178256084639,0.00499762771106975,0.00267610336407137,0.000381696311863937,"frpwiki","Wikipedia"
"frrwiki",0.00179252213672342,0.989147812628711,0.000328721825810586,0.00870674935238871,2.41940563665881e-05,"frrwiki","Wikipedia"
"frwiki",0.00696283733413837,0.255685807574985,0.691765012802798,0.0443264124162146,0.00125992987186388,"frwiki","Wikipedia"
"frwikinews",0.997894736842105,0.000526315789473813,0.000526315789473743,0.000526315789473687,0.000526315789473695,"frwikinews","Wikinews"
"frwikiquote",0.869333609939443,0.0759241849618858,0.00210167679193387,0.00242743047276745,0.0502130978339701,"frwikiquote","Wikiquote"
"frwikivoyage",0.456228347534259,0.00634426328711304,0.533692726361356,0.000281007079593109,0.00345365573767946,"frwikivoyage","Wikivoyage"
"furwiki",0.314113991273288,0.684153502953793,0.000649441786627043,0.000804950178078167,0.000278113808213562,"furwiki","Wikipedia"
"fywiki",0.00140018867735308,0.805762785889412,0.149631531155164,0.0390972193773074,0.00410827490076424,"fywiki","Wikipedia"
"gagwiki",0.223994726716008,0.327573376138414,0.447268446150564,0.00028174704102316,0.000881703953991931,"gagwiki","Wikipedia"
"ganwiki",0.994059030389027,0.00248581307025055,0.00119769276363093,0.00209520892745388,0.000162254849637347,"ganwiki","Wikipedia"
"gawiki",0.113996126688421,0.630096169418923,0.252936267308133,0.00132667832821707,0.00164475825630537,"gawiki","Wikipedia"
"gdwiki",0.382423532405608,0.61584099843756,0.00124479366043127,0.000414949630690292,7.5725865709815e-05,"gdwiki","Wikipedia"
"glkwiki",0.311073876719466,0.60714656528695,0.0796569785049382,0.000987090943180313,0.00113548854546558,"glkwiki","Wikipedia"
"glwiki",0.0276213625328058,0.543106607286795,0.421616624072065,0.00569726753581154,0.00195813857252239,"glwiki","Wikipedia"
"gnwiki",0.767351512308962,0.00849935096352885,0.217904160752434,0.000973517232654365,0.00527145874242085,"gnwiki","Wikipedia"
"gomwiki",0.965437279429232,0.00547780032002371,0.0278337491369339,0.000452066914579964,0.000799104199230747,"gomwiki","Wikipedia"
"gotwiki",0.695404655438855,0.29307463868409,0.00859961555488493,0.00178299448871274,0.00113809583345752,"gotwiki","Wikipedia"
"guwiki",0.992016063286212,0.00163882437184909,0.00152055930858133,6.70925208290483e-05,0.00475746051252883,"guwiki","Wikipedia"
"gvwiki",0.145476829124536,0.817309344019312,0.000617525333843902,0.0365248180325874,7.14834897211023e-05,"gvwiki","Wikipedia"
"hakwiki",0.987477952796445,0.00115784425351252,0.00098592215865132,0.00337233959295789,0.007005941198433,"hakwiki","Wikipedia"
"hawiki",0.829892198914745,0.00257700390949098,0.16644910644709,0.00074326669847746,0.000338424030197128,"hawiki","Wikipedia"
"hawwiki",0.975529596675124,0.00899039724796429,0.0128049372164069,0.00212776194670342,0.000547306913801741,"hawwiki","Wikipedia"
"hewiki",7.16347193891548e-06,3.17822519124097e-06,3.44490738864671e-06,0.999977596734067,8.61666141388194e-06,"hewiki","Wikipedia"
"hewikiquote",0.871813532399767,0.0755752748915209,0.00114968510248595,0.0505496058234505,0.000911901782776072,"hewikiquote","Wikiquote"
"hewikivoyage",0.997894736842105,0.000526315789474363,0.000526315789473711,0.00052631578947371,0.000526315789473708,"hewikivoyage","Wikivoyage"
"hifwiki",0.977359322263383,0.00222836077473363,0.00103706468891023,0.0192395129564569,0.00013573931651644,"hifwiki","Wikipedia"
"hiwiki",0.986681793263225,0.00186869945059988,0.00208505955806668,0.00933296581369424,3.14819144138774e-05,"hiwiki","Wikipedia"
"hrwiki",0.0160641728917464,0.59043927200056,0.388511222804585,0.0033015725737682,0.00168375972933975,"hrwiki","Wikipedia"
"hrwikiquote",0.889687904705199,0.0906348846643145,0.00465495360576556,0.0140241940731193,0.000998062951601704,"hrwikiquote","Wikiquote"
"hsbwiki",0.00845813287650299,0.990492067832273,0.000983298213993635,4.12777921101102e-05,2.52232851203716e-05,"hsbwiki","Wikipedia"
"htwiki",0.986499835227455,0.00203561836532666,0.000373513438259815,0.00640328782609077,0.00468774514286797,"htwiki","Wikipedia"
"huwiki",0.000799785272151723,0.321893240583878,0.6754798452588,0.000862519478378806,0.000964609406790753,"huwiki","Wikipedia"
"huwikibooks",0.0462087330792195,0.927533314199892,0.0216392019576791,0.000676242386429273,0.00394250837678026,"huwikibooks","Wikibooks"
"huwikiquote",0.90378755064772,0.0719255903270952,0.00214587417701774,0.020988997211772,0.00115198763639541,"huwikiquote","Wikiquote"
"hywiki",0.0793641819717664,0.80467172441516,0.114632990313133,7.9244823276723e-05,0.00125185847666359,"hywiki","Wikipedia"
"hywikiquote",0.972883578842539,0.0217603747819544,0.00404200187948558,0.00078878622651966,0.000525258269501665,"hywikiquote","Wikiquote"
"iawiki",0.601585286937183,0.06900693174574,0.197615740569198,0.131127760913003,0.0006642798348771,"iawiki","Wikipedia"
"idwiki",0.387606052065656,0.0499974536933464,0.552022040812265,0.00338781811256337,0.00698663531616983,"idwiki","Wikipedia"
"iewiki",0.886496311112365,0.0246520854402502,0.00721546981699987,0.0807861189249147,0.00085001470547021,"iewiki","Wikipedia"
"igwiki",0.968358314453088,0.00857073265323268,0.0011342107954306,0.0214166425168959,0.000520099581352929,"igwiki","Wikipedia"
"ikwiki",0.0176676664970402,0.952263278563294,0.00677686747906686,0.00159913515098749,0.0216930523096112,"ikwiki","Wikipedia"
"ilowiki",0.913827659765643,0.00170650280980701,0.000901287302737126,0.0834690447045372,9.5505417275872e-05,"ilowiki","Wikipedia"
"iowiki",0.196715907277989,0.802412885762444,0.000701310554936347,0.000141767531254121,2.81288733763461e-05,"iowiki","Wikipedia"
"iswiki",0.0491709101842222,0.942501247955575,0.0016424160178755,0.00265145258697715,0.00403397325535045,"iswiki","Wikipedia"
"iswikibooks",0.997894736842104,0.000526315789474179,0.000526315789473949,0.000526315789473692,0.000526315789473717,"iswikibooks","Wikibooks"
"itwiki",0.00189462157963576,0.286387507930786,0.707612359867164,0.00318617477995645,0.000919335842457824,"itwiki","Wikipedia"
"itwikiquote",0.408681020373952,0.584264926679356,0.00137781052123968,0.000148260496236061,0.00552798192921602,"itwikiquote","Wikiquote"
"itwikisource",0.997894736842105,0.000526315789474105,0.000526315789473726,0.000526315789473775,0.000526315789473692,"itwikisource","Wikisource"
"iuwiki",0.857983323027286,0.133510641025273,0.00464491001304718,0.00338507113692746,0.000476054797466628,"iuwiki","Wikipedia"
"jamwiki",0.973750857395521,0.00454326177820371,0.00232332995152729,0.0191333189065023,0.000249231968246104,"jamwiki","Wikipedia"
"jawiki",0.0209560171357758,0.301606064858299,0.673241925259026,0.00305235764448251,0.00114363510241712,"jawiki","Wikipedia"
"jawikiquote",0.943059291748679,0.0525375865255481,0.0015199461384938,0.00261189431945755,0.000271281267821394,"jawikiquote","Wikiquote"
"jbowiki",0.97880080395265,0.0038286213387629,0.00188463105646419,0.0152983612441786,0.000187582407944691,"jbowiki","Wikipedia"
"jvwiki",0.989080605988237,0.000618086570933927,0.00183811528795793,0.00762274323562441,0.000840448917246371,"jvwiki","Wikipedia"
"kaawiki",0.777014024619879,0.219958752151233,0.00102816484394245,0.00172625778537524,0.000272800599570846,"kaawiki","Wikipedia"
"kabwiki",0.696534337609294,0.283824578844442,0.00573262934820915,0.0128230965178226,0.00108535768023158,"kabwiki","Wikipedia"
"kawiki",0.0165673854456735,0.67415530483561,0.307330582434462,0.00129717550540561,0.000649551778849625,"kawiki","Wikipedia"
"kbdwiki",0.000696349355279605,0.997356725691131,0.00180502814736944,9.62106253865773e-05,4.56861808329634e-05,"kbdwiki","Wikipedia"
"kbpwiki",0.993363596556379,0.00455037554859485,0.000742826031201285,0.00116107092029674,0.000182130943528595,"kbpwiki","Wikipedia"
"kgwiki",0.963103643596551,0.0321188899516709,0.00355837169097094,0.000949075550522158,0.000270019210285157,"kgwiki","Wikipedia"
"kiwiki",0.965277849341935,0.0128402190530628,0.00163273753080906,0.0198592834125555,0.000389910661637727,"kiwiki","Wikipedia"
"kkwiki",0.0010305678606502,0.712060113369058,0.284296522870786,0.00207308271835484,0.000539713181150566,"kkwiki","Wikipedia"
"klwiki",0.0332068405199163,0.962064813785103,0.00369829386150361,0.000733887684480466,0.000296164148996458,"klwiki","Wikipedia"
"kmwiki",0.978927501807944,0.00337344746694352,0.00734580216518532,0.0099518304232513,0.000401418136675525,"kmwiki","Wikipedia"
"knwiki",0.997745908261944,0.00106399269746973,0.000701430336622373,0.00044948777692884,3.91809270350831e-05,"knwiki","Wikipedia"
"koiwiki",0.295422130374046,0.666723704545158,0.0375085377052442,0.00025919128811802,8.64360874332939e-05,"koiwiki","Wikipedia"
"kowiki",0.0742369828175517,0.210498893300855,0.710144225711342,0.00368979780616991,0.00143010036408094,"kowiki","Wikipedia"
"krcwiki",0.174611250407552,0.822236408614262,0.00191177643215478,0.000292521431975387,0.00094804311405694,"krcwiki","Wikipedia"
"kshwiki",0.436569929159809,0.551869590529277,0.00452500619511555,0.00631452114919661,0.000720952966601758,"kshwiki","Wikipedia"
"kswiki",0.985874447939851,0.0084992485454446,0.00115705360588548,0.00419152127371923,0.000277728635099401,"kswiki","Wikipedia"
"kuwiki",0.310131672974535,0.686972682744512,0.00187140979006123,0.000986970597165583,3.72638937261744e-05,"kuwiki","Wikipedia"
"kuwikiquote",0.0431120266027029,0.0056698093128076,0.000263517396848144,0.95056710075936,0.000387545928281551,"kuwikiquote","Wikiquote"
"kvwiki",0.274725354969417,0.718371954521293,0.00672912969617458,6.93241658849058e-05,0.000104236647230918,"kvwiki","Wikipedia"
"kwwiki",0.126575919017019,0.847740989857356,0.00240654422838469,0.023063287009339,0.000213259887901478,"kwwiki","Wikipedia"
"kywiki",0.0641321547547208,0.692714575310069,0.238044805633401,0.00510720330031442,1.26100149490726e-06,"kywiki","Wikipedia"
"ladwiki",0.988443366062522,0.00954264873610633,0.00118435756636253,0.000605024641268965,0.000224602993740099,"ladwiki","Wikipedia"
"lawiki",0.270515041197445,0.386808250188233,0.320591690234328,0.0200210770995342,0.00206394128045931,"lawiki","Wikipedia"
"lawikiquote",0.915658477362997,0.00713163831912899,0.00172770121197487,0.075033211723141,0.000448971382758599,"lawikiquote","Wikiquote"
"lbewiki",0.776350030482526,0.219571387584163,0.00377883873443861,0.000173034723465767,0.000126708475406462,"lbewiki","Wikipedia"
"lbwiki",0.0712395456409342,0.919300113504246,0.00193137285501695,0.00747299601783004,5.59719819730116e-05,"lbwiki","Wikipedia"
"lezwiki",0.393649883524457,0.252689850117007,0.353104850008256,0.000401559769606083,0.000153856580674052,"lezwiki","Wikipedia"
"lgwiki",0.830744293062327,0.00860880406416938,0.158212322844558,0.00148356131771533,0.000951018711229619,"lgwiki","Wikipedia"
"lijwiki",0.295711917558134,0.627039094133273,0.00402178027183416,0.0730918407484933,0.000135367288265836,"lijwiki","Wikipedia"
"liwiki",0.168548798326157,0.782479736632532,0.000663505253962084,0.048252896910555,5.50628767932311e-05,"liwiki","Wikipedia"
"liwikiquote",0.997894736842105,0.000526315789473954,0.000526315789473684,0.000526315789473686,0.000526315789473692,"liwikiquote","Wikiquote"
"lmowiki",0.0082682909223505,0.98164091042595,0.000938068476693628,0.00434689606946913,0.00480583410553701,"lmowiki","Wikipedia"
"lnwiki",0.987486640013619,0.00949967809159729,0.00190973966766282,0.000964158288643258,0.000139783938477817,"lnwiki","Wikipedia"
"lowiki",0.994625759967155,0.00203372381047251,0.00180879850411113,0.0013570900478623,0.000174627670399379,"lowiki","Wikipedia"
"lrcwiki",0.96446778965543,0.0323534394109372,0.000859378796372774,0.00133650861970266,0.000982883517557829,"lrcwiki","Wikipedia"
"ltgwiki",0.605319166502102,0.234524853959602,0.158910804582643,0.000930969451772251,0.000314205503880569,"ltgwiki","Wikipedia"
"ltwiki",0.000532072707196852,0.45675953712094,0.541992372557365,4.98846979189496e-05,0.000666132916579586,"ltwiki","Wikipedia"
"ltwikibooks",0.997894736842105,0.000526315789473783,0.000526315789473684,0.000526315789473684,0.000526315789473686,"ltwikibooks","Wikibooks"
"ltwikiquote",0.743253605357425,0.232030900463917,0.00923127268081716,0.0143910836340701,0.00109313786377055,"ltwikiquote","Wikiquote"
"lvwiki",0.0603672504151652,0.611511519760286,0.323654963451954,0.00324638972693873,0.00121987664565634,"lvwiki","Wikipedia"
"maiwiki",0.99730272998108,0.00122327139225047,0.000925298782274571,0.000439478882983419,0.000109220961410975,"maiwiki","Wikipedia"
"map_bmswiki",0.990898887728748,0.00179455817300132,0.00188157439499176,0.00520524447205623,0.000219735231202637,"map_bmswiki","Wikipedia"
"mdfwiki",0.132887248320236,0.864860623468563,0.00173160078656187,0.000350736318143149,0.000169791106495463,"mdfwiki","Wikipedia"
"metawiki",0.0667763430515919,0.0376256376570029,0.894633424078209,0.000172576335140164,0.000792018878056502,"metawiki","Other"
"mgwiki",0.98518260057267,0.00471346676102703,0.00529395769556007,0.0044368460279565,0.00037312894278579,"mgwiki","Wikipedia"
"mhrwiki",0.379207343116001,0.31574511605781,0.304599070340903,0.000324317267333644,0.000124153217951585,"mhrwiki","Wikipedia"
"mhwiki",0.997894736842105,0.000526315789473877,0.000526315789473911,0.000526315789473691,0.000526315789473708,"mhwiki","Wikipedia"
"minwiki",0.944813234969069,0.00516993101842716,0.00944973295228525,0.0116189425840426,0.0289481584761759,"minwiki","Wikipedia"
"miwiki",0.247996838912931,0.0153324574969723,0.734859371320331,0.00113024391422732,0.000681088355538641,"miwiki","Wikipedia"
"mkwiki",0.0226111650483869,0.881804477918402,0.0740906393367609,0.0185442625092354,0.00294945518721523,"mkwiki","Wikipedia"
