"","topic1","topic2","topic3","topic4","topic5","project","projecttype"
"abwiki",0.155774631097266,0.841421048870272,0.00165314899975283,0.000818304692129544,0.00033286634057905,"abwiki","Wikipedia"
"acewiki",0.994548465503269,0.000790284062963738,0.00377122424680262,0.000681241812169815,0.000208784374794494,"acewiki","Wikipedia"
"adywiki",0.96209681811853,0.0241611041860184,0.00911205182574415,0.00392935374433005,0.000700672125377596,"adywiki","Wikipedia"
"afwiki",0.185863439256524,0.160000179255025,0.646720398109645,0.00741527725468853,7.06124118213231e-07,"afwiki","Wikipedia"
"alswiki",0.178911461981866,0.769018298861114,0.000472843721428685,0.051542579969389,5.48154662018853e-05,"alswiki","Wikipedia"
"amwiki",0.997645418948985,0.00120492082471344,0.000889650187278791,0.000197076882481893,6.29331565412844e-05,"amwiki","Wikipedia"
"angwiki",0.943943782815305,0.0526312835673779,0.00240568564759504,0.000872825948964606,0.000146422020757362,"angwiki","Wikipedia"
"anwiki",0.171084477455283,0.825506958254431,0.00197202715149142,0.00138111789519778,5.54192435968636e-05,"anwiki","Wikipedia"
"arcwiki",0.98674268875621,0.00933109090146833,0.00118437563645301,0.00252123324398856,0.000220611461879698,"arcwiki","Wikipedia"
"arwiki",0.0289932583439308,0.0978767043555105,0.256720585553954,0.616077442141484,0.000332009605120646,"arwiki","Wikipedia"
"arwikibooks",0.850014998270781,0.0818991757241165,0.0450911806212197,0.0181586204026041,0.00483602498127893,"arwikibooks","Wikibooks"
"arwikinews",0.000526315789473923,0.000526315789473705,0.000526315789473684,0.997894736842105,0.000526315789473685,"arwikinews","Wikinews"
"arwikiquote",0.0490981914409621,0.0819553338011433,0.389377284340101,0.468414373166119,0.0111548172516743,"arwikiquote","Wikiquote"
"arzwiki",0.984118209658133,0.00862662043970435,0.00655364170931463,0.00041476631183007,0.000286761881018144,"arzwiki","Wikipedia"
"astwiki",0.0514611746217831,0.579917433442138,0.367057198808149,3.58852315837407e-05,0.00152830789634624,"astwiki","Wikipedia"
"aswiki",0.996652581525893,0.000986385308931227,0.00177473303757329,0.000499319438417269,8.69806891851328e-05,"aswiki","Wikipedia"
"atjwiki",0.436207970416525,0.56091142015933,0.00221430173367285,0.000448624836372873,0.000217682854098805,"atjwiki","Wikipedia"
"avwiki",0.506985809837499,0.201722346222303,0.290922091721236,0.000187544157695612,0.00018220806126758,"avwiki","Wikipedia"
"aywiki",0.981840762362019,0.0043022085062604,0.0124352218401309,0.00113041249396931,0.000291394797620767,"aywiki","Wikipedia"
"azbwiki",0.270677632801311,0.177234942553639,0.546557419011316,0.00548335941163764,4.66462220966501e-05,"azbwiki","Wikipedia"
"azwiki",0.00644088075263592,0.532296359543996,0.460107571130795,0.000280369977961732,0.000874818594611434,"azwiki","Wikipedia"
"azwikibooks",0.424000679861137,0.559764359902079,0.00254337724306048,0.0127816277579143,0.000909955235808947,"azwikibooks","Wikibooks"
"azwikiquote",0.96899481832039,0.0271910404120036,0.00209946608390726,0.00107697727267319,0.000637697911026276,"azwikiquote","Wikiquote"
"barwiki",0.155802954282898,0.839220692227246,0.000872087956096725,0.00400883532731468,9.54302064453548e-05,"barwiki","Wikipedia"
"bat_smgwiki",0.0021263442870254,0.997115965795695,0.000186388796837644,0.000538453367666391,3.2847752775274e-05,"bat_smgwiki","Wikipedia"
"bawiki",0.000687471558714401,0.995885452590793,0.000209545178672381,0.00319612689425013,2.14037775706186e-05,"bawiki","Wikipedia"
"bclwiki",0.996843688860583,0.00130358335649288,0.00138261681084344,0.000343074223487512,0.000127036748592876,"bclwiki","Wikipedia"
"be_x_oldwiki",0.155704419254296,0.67530534408495,0.156058073987734,0.0129308092385119,1.35343450822056e-06,"be_x_oldwiki","Wikipedia"
"bewiki",0.00142184514826145,0.781266788800385,0.214922319020995,0.00132057512646496,0.00106847190389364,"bewiki","Wikipedia"
"bgwiki",0.028376440032899,0.40093495189124,0.56920409531222,0.00030868298523076,0.00117582977841041,"bgwiki","Wikipedia"
"bgwikiquote",0.267430941113748,0.0222326671778607,0.0026825303069557,0.706947030038702,0.000706831362734365,"bgwikiquote","Wikiquote"
"bhwiki",0.719900895310354,0.107460372844462,0.170690223996221,0.00179655452032492,0.000151953328637816,"bhwiki","Wikipedia"
"biwiki",0.9105450429682,0.00323974145832355,0.0823813233831332,0.00324502106274127,0.000588871127602357,"biwiki","Wikipedia"
"bjnwiki",0.995750868632444,0.00149938350858541,0.00219205637619293,0.000395863895405819,0.000161827587371874,"bjnwiki","Wikipedia"
"bmwiki",0.972993894010835,0.0126482935922533,0.00362154748985592,0.0101603453114671,0.000575919595588741,"bmwiki","Wikipedia"
"bnwiki",0.712193418171836,0.00139260471194187,0.28348208913804,0.000175991844228214,0.0027558961339545,"bnwiki","Wikipedia"
"bowiki",0.900369526248508,0.0983004621954769,0.00115489356632638,8.71131493132838e-05,8.80048403750769e-05,"bowiki","Wikipedia"
"bpywiki",0.946188852608306,0.0235375173568197,0.0178021102419854,0.0109905430904517,0.00148097670243727,"bpywiki","Wikipedia"
"brwiki",0.0084883292083498,0.256777869163767,0.73313570952101,6.69795161466343e-05,0.00153111259072716,"brwiki","Wikipedia"
"bswiki",0.344988574193381,0.639411678640568,0.00102377070779757,0.0105344730263125,0.0040415034319405,"bswiki","Wikipedia"
"bswikiquote",0.886654867982895,0.0902577289335102,0.00369297242916312,0.0182586245751332,0.00113580607929827,"bswikiquote","Wikiquote"
"bugwiki",0.936334538329451,0.032692359615035,0.0242617657887511,0.00426977900553792,0.00244155726122471,"bugwiki","Wikipedia"
"bxrwiki",0.431693250312604,0.56342915528611,0.00163398273066084,0.00310002860464593,0.000143583065978692,"bxrwiki","Wikipedia"
"cawiki",0.0368810770023843,0.171518935357926,0.449630952722872,0.34150938134855,0.000459653568268235,"cawiki","Wikipedia"
"cawikiquote",0.631002906600592,0.367754375819381,0.000799180764932884,0.000313865999945384,0.000129670815149257,"cawikiquote","Wikiquote"
"cbk_zamwiki",0.997894736842104,0.000526315789474237,0.000526315789473871,0.000526315789473693,0.000526315789473719,"cbk_zamwiki","Wikipedia"
