"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","project","projecttype"
"arwiki",0.000154958107792451,8.26905184385248e-06,3.82687027768287e-05,1.34863858324501e-05,0.99972389288623,8.07879898361718e-06,1.76820221800742e-05,1.76820221800886e-05,1.76820221801066e-05,"arwiki","Wikipedia"
"bewiki",0.0022675736961457,0.00226757369614512,0.981859410430838,0.00226757369614512,0.00226757369614512,0.00226757369614521,0.00226757369614512,0.00226757369614512,0.00226757369614512,"bewiki","Wikipedia"
"bgwiki",0.405718761773862,0.578825668708728,0.0011464945985728,0.00729690809000056,0.0013483331586761,0.00222743262695803,0.00114546701440082,0.00114546701440082,0.00114546701440082,"bgwiki","Wikipedia"
"bnwiki",0.981859410430839,0.00226757369614512,0.00226757369614512,0.00226757369614526,0.00226757369614512,0.00226757369614512,0.00226757369614512,0.00226757369614512,0.00226757369614512,"bnwiki","Wikipedia"
"cawiki",0.000766451193389173,0.000766494082543196,0.993573073299263,0.000839199437652364,0.000989620693614739,0.000766307303120756,0.00076628466347236,0.000766284663472361,0.000766284663472365,"cawiki","Wikipedia"
"cswiki",0.000329913040497823,0.114174282205163,0.000330062661145076,0.855619542331911,0.00032971521505557,0.0282273609271595,0.000329707873022893,0.000329707873022894,0.000329707873022898,"cswiki","Wikipedia"
"cywiki",0.984463566748049,0.000256756406568172,0.00025680336978495,0.000350888683532473,0.0103701666289487,0.000335578002190225,0.0013220800536351,0.00132208005364072,0.00132208005365042,"cywiki","Wikipedia"
"dawiki",0.981859410430839,0.00226757369614527,0.00226757369614512,0.00226757369614521,0.00226757369614513,0.00226757369614514,0.00226757369614512,0.00226757369614512,0.00226757369614512,"dawiki","Wikipedia"
"dewiki",0.00880905526346992,0.984890528350085,0.000461450126770419,0.00275913180327965,0.000461051226091251,0.00118473164252181,0.000478017195927004,0.000478017195927304,0.000478017195927833,"dewiki","Wikipedia"
"dewikibooks",0.00226757369614512,0.981859410430839,0.00226757369614512,0.00226757369614521,0.00226757369614512,0.00226757369614512,0.00226757369614513,0.00226757369614513,0.00226757369614513,"dewikibooks","Wikibooks"
"elwiki",0.00114671339766458,0.0140407269559943,0.977296272241998,0.00119150980132266,0.00114548156962002,0.00172864447280826,0.00115021718686371,0.00115021718686381,0.00115021718686411,"elwiki","Wikipedia"
"enwiki",0.00164329325600963,0.0327146036421559,0.037658908281318,0.927444378600094,0.000244219468206596,7.83055768528836e-05,7.20970584543279e-05,7.20970584543873e-05,7.2097058454477e-05,"enwiki","Wikipedia"
"enwikiquote",0.482038883643849,0.00987463391784445,0.495963954926399,0.00549403794624035,0.00135228028871378,0.00181311242359126,0.00115436561778714,0.00115436561778735,0.0011543656177879,"enwikiquote","Wikiquote"
"enwikisource",0.000231333168926537,0.000231415186911013,0.00023156456462628,0.998073965857201,0.000231015087912722,0.000231047230280049,0.00025655296804732,0.000256552968047464,0.000256552968047645,"enwikisource","Wikisource"
"eswiki",0.00023111952184706,0.000694274627404303,0.997042724341222,0.000815550365538422,0.00026711102557812,0.000255626211390965,0.000231197969006405,0.00023119796900641,0.000231197969006424,"eswiki","Wikipedia"
"euwiki",0.00226757369614512,0.00226757369614512,0.981859410430838,0.00226757369614512,0.00226757369614514,0.00226757369614512,0.00226757369614512,0.00226757369614512,0.00226757369614512,"euwiki","Wikipedia"
"fawiki",0.271412166295865,0.387214618735823,0.331782420388876,0.00488203526608278,0.000901991630172769,0.0014900816939649,0.00077222866307153,0.000772228663071668,0.000772228663072039,"fawiki","Wikipedia"
"fiwiki",0.405862848802839,0.576276351635802,0.00114704863752097,0.0101286473498859,0.00134835279799379,0.00180034403871487,0.00114546891241419,0.00114546891241419,0.0011454689124142,"fiwiki","Wikipedia"
"frwiki",0.00195830114125362,0.00652453412032464,0.0759751575979053,0.915102931452701,5.80623072494165e-05,0.000212378938496671,5.62114806897269e-05,5.62114806897832e-05,5.62114806898659e-05,"frwiki","Wikipedia"
"hewiki",0.405718761773862,0.578825668708728,0.0011464945985728,0.00729690809000056,0.0013483331586761,0.00222743262695803,0.00114546701440082,0.00114546701440082,0.00114546701440082,"hewiki","Wikipedia"
"huwiki",0.00226757369614513,0.00226757369614513,0.00226757369614513,0.981859410430839,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,"huwiki","Wikipedia"
