"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","project","projecttype"
"hywiki",0.0518646567287112,0.00279640405108896,0.000128987027915246,0.853887201255888,0.0861001398019036,0.00336797671347672,0.000618211473667208,0.00061821147367169,0.000618211473677461,"hywiki","Wikipedia"
"idwiki",0.223187747810213,0.76755837556788,0.00076701965605232,0.00403662813933397,0.000898541129919266,0.00119312240198878,0.000786188431537216,0.000786188431537445,0.000786188431537964,"idwiki","Wikipedia"
"itwiki",0.00046148541153002,0.977187242021243,0.0182479226003582,0.00149779814218811,0.000461047236702019,0.000728575537563625,0.00047197635013808,0.00047197635013817,0.000471976350138338,"itwiki","Wikipedia"
"jawiki",0.981859410430839,0.00226757369614527,0.00226757369614512,0.00226757369614521,0.00226757369614513,0.00226757369614514,0.00226757369614512,0.00226757369614512,0.00226757369614512,"jawiki","Wikipedia"
"kawiki",0.981859410430839,0.00226757369614512,0.00226757369614512,0.00226757369614519,0.00226757369614514,0.00226757369614518,0.00226757369614512,0.00226757369614512,0.00226757369614512,"kawiki","Wikipedia"
"kowiki",0.00226757369614513,0.981859410430839,0.00226757369614513,0.00226757369614516,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,"kowiki","Wikipedia"
"ltwiki",0.00226757369614513,0.00226757369614513,0.00226757369614513,0.981859410430839,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,"ltwiki","Wikipedia"
"nlwiki",0.000766508467391819,0.993634121303341,0.00076675209839241,0.000933393590618559,0.000766291802514389,0.000766309696409808,0.000788874347109974,0.000788874347110343,0.000788874347111162,"nlwiki","Wikipedia"
"plwiki",0.469188173525282,0.518995472233597,0.000766925750987218,0.00604322415639173,0.000852074932644526,0.00176036910816616,0.000797920097643235,0.000797920097643835,0.000797920097644851,"plwiki","Wikipedia"
"ptwiki",0.658469569100904,0.00580289935418537,0.327874826631666,0.00564969336313963,0.000403252814698829,0.000641574847425756,0.000386061295993253,0.000386061295993291,0.000386061295993395,"ptwiki","Wikipedia"
"ruwiki",0.000350295153717989,0.000269676251341773,6.79894302897848e-05,0.000120512679927677,1.06310249448124e-05,0.99915025131011,1.02147165560116e-05,1.02147165560253e-05,1.02147165560473e-05,"ruwiki","Wikipedia"
"shwiki",0.981859410430838,0.0022675736961458,0.00226757369614513,0.00226757369614528,0.00226757369614513,0.00226757369614516,0.00226757369614513,0.00226757369614513,0.00226757369614513,"shwiki","Wikipedia"
"slwiki",0.992242291543447,0.000288752189482015,0.00387607193418509,0.000524603717063549,0.000404385809647501,0.00178932999306422,0.000291521604370038,0.000291521604370085,0.000291521604370193,"slwiki","Wikipedia"
"specieswiki",0.994924387920122,0.000330143021069553,0.000330281307124582,0.000329827166835928,0.0003297225536133,0.000329757013714078,0.00114196033916227,0.00114196033916794,0.00114196033919029,"specieswiki","Other"
"sqwiki",0.00226757369614512,0.00226757369614512,0.981859410430838,0.00226757369614512,0.00226757369614512,0.00226757369614512,0.00226757369614512,0.00226757369614512,0.00226757369614512,"sqwiki","Wikipedia"
"srwiki",0.955572971819301,0.026527634619864,0.00114624529866946,0.00993872760923301,0.00114548727246039,0.00205622460787451,0.00120423625753109,0.0012042362575322,0.00120423625753408,"srwiki","Wikipedia"
"svwiki",0.271294683983554,0.388826854275464,0.331785891909665,0.00361570222681964,0.000901989801409707,0.00120432510677979,0.000790184232102013,0.000790184232102489,0.000790184232103609,"svwiki","Wikipedia"
"tawiki",0.00226757369614512,0.00226757369614512,0.981859410430838,0.00226757369614525,0.00226757369614512,0.00226757369614512,0.00226757369614512,0.00226757369614512,0.00226757369614512,"tawiki","Wikipedia"
"tgwiki",0.00114547537228029,0.0011454753722795,0.0011454753722795,0.0011454753722795,0.990836197021763,0.0011454753722795,0.00114547537227957,0.00114547537227957,0.00114547537227957,"tgwiki","Wikipedia"
"thwiki",0.981859410430838,0.0022675736961458,0.00226757369614513,0.00226757369614528,0.00226757369614513,0.00226757369614516,0.00226757369614513,0.00226757369614513,0.00226757369614513,"thwiki","Wikipedia"
"trwiki",0.00226757369614513,0.981859410430839,0.00226757369614513,0.00226757369614516,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,"trwiki","Wikipedia"
"tyvwiki",0.983954815035677,0.00114584312311519,0.00114596403164582,0.00114557563875874,0.00173305270963433,0.0073939537265789,0.00116026524486295,0.00116026524486319,0.00116026524486373,"tyvwiki","Wikipedia"
"ukwiki",0.000329923002042722,0.99577411116202,0.000330047226768844,0.00102295055436744,0.000667809016319966,0.000351301447257336,0.000507952530406601,0.000507952530407432,0.00050795253040977,"ukwiki","Wikipedia"
"ukwikisource",0.00226757369614513,0.981859410430839,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,0.00226757369614513,"ukwikisource","Wikisource"
"urwiki",0.990836197021764,0.0011454753722795,0.0011454753722795,0.0011454753722795,0.00114547537227959,0.0011454753722795,0.00114547537227956,0.00114547537227956,0.00114547537227956,"urwiki","Wikipedia"
"wikidatawiki",1.36784861080997e-06,1.19350876994646e-06,2.21640565731051e-07,8.19354118857619e-06,0.000219528483741425,3.20088746412034e-05,0.333245831508694,0.333245829064843,0.333245825528946,"wikidatawiki","Other"
"zhwiki",0.27136351557231,0.689740690113445,0.0311298546345066,0.00482655013041699,0.000461050477554315,0.00102232273115701,0.000485338780203117,0.000485338780203445,0.000485338780203993,"zhwiki","Wikipedia"
