"","topic1","topic2","project","projecttype"
"acewiki",0.972617758164331,0.0273822418356684,"acewiki","Wikipedia"
"adywiki",0.995826907951812,0.00417309204818788,"adywiki","Wikipedia"
"afwiki",0.843376905214893,0.156623094785107,"afwiki","Wikipedia"
"alswiki",0.998202920107827,0.00179707989217278,"alswiki","Wikipedia"
"amwiki",0.999986887191815,1.31128081853198e-05,"amwiki","Wikipedia"
"angwiki",0.997325742738086,0.00267425726191373,"angwiki","Wikipedia"
"anwiki",0.999985740705636,1.42592943641884e-05,"anwiki","Wikipedia"
"arcwiki",0.994729161388206,0.00527083861179393,"arcwiki","Wikipedia"
"arwiki",0.0371218835000764,0.962878116499924,"arwiki","Wikipedia"
"arwikibooks",0.976087505202107,0.0239124947978932,"arwikibooks","Wikibooks"
"arwikiquote",0.00151057401812689,0.998489425981873,"arwikiquote","Wikiquote"
"arwikisource",0.00151057401812727,0.998489425981873,"arwikisource","Wikisource"
"arzwiki",0.930890648051344,0.0691093519486558,"arzwiki","Wikipedia"
"astwiki",0.999283177642138,0.000716822357862221,"astwiki","Wikipedia"
"aswiki",0.990978235954324,0.00902176404567563,"aswiki","Wikipedia"
"atjwiki",0.998489425981873,0.00151057401812697,"atjwiki","Wikipedia"
"avwiki",0.983685370616422,0.0163146293835784,"avwiki","Wikipedia"
"aywiki",0.994845589669655,0.00515441033034459,"aywiki","Wikipedia"
"azbwiki",0.026988870775278,0.973011129224722,"azbwiki","Wikipedia"
"azwiki",0.996747028923806,0.0032529710761944,"azwiki","Wikipedia"
"azwikibooks",0.975890321360344,0.0241096786396565,"azwikibooks","Wikibooks"
"azwikiquote",0.992245653095831,0.00775434690416901,"azwikiquote","Wikiquote"
"barwiki",0.921334778989517,0.0786652210104828,"barwiki","Wikipedia"
"bat_smgwiki",0.997960631558422,0.00203936844157813,"bat_smgwiki","Wikipedia"
"bawiki",0.998746667503844,0.0012533324961564,"bawiki","Wikipedia"
"bclwiki",0.903255840381507,0.0967441596184931,"bclwiki","Wikipedia"
"be_x_oldwiki",0.999985466284089,1.45337159106689e-05,"be_x_oldwiki","Wikipedia"
"bewiki",0.995190147333434,0.00480985266656638,"bewiki","Wikipedia"
"bgwiki",0.661836287567335,0.338163712432665,"bgwiki","Wikipedia"
"bgwikiquote",0.998489425981873,0.001510574018127,"bgwikiquote","Wikiquote"
"bhwiki",0.999986591188275,1.3408811725337e-05,"bhwiki","Wikipedia"
"biwiki",0.994990453747773,0.00500954625222676,"biwiki","Wikipedia"
"bjnwiki",0.994778429624926,0.00522157037507388,"bjnwiki","Wikipedia"
