"","topic1","topic2","project","projecttype"
"bmwiki",0.998489425981873,0.00151057401812696,"bmwiki","Wikipedia"
"bnwiki",0.815590383026266,0.184409616973734,"bnwiki","Wikipedia"
"bnwikibooks",0.998489425981872,0.00151057401812756,"bnwikibooks","Wikibooks"
"bowiki",0.999979582298867,2.04177011335344e-05,"bowiki","Wikipedia"
"bpywiki",0.982867058387403,0.0171329416125967,"bpywiki","Wikipedia"
"brwiki",0.999986486382897,1.35136171031171e-05,"brwiki","Wikipedia"
"bswiki",0.490944628247628,0.509055371752372,"bswiki","Wikipedia"
"bswikiquote",0.994692874099224,0.0053071259007758,"bswikiquote","Wikiquote"
"bxrwiki",0.997781725361767,0.00221827463823274,"bxrwiki","Wikipedia"
"cawiki",0.208472546735534,0.791527453264466,"cawiki","Wikipedia"
"cawikiquote",0.992865745007247,0.00713425499275338,"cawikiquote","Wikiquote"
"cdowiki",0.999987674325494,1.23256745063956e-05,"cdowiki","Wikipedia"
"cebwiki",0.999986677843913,1.33221560869932e-05,"cebwiki","Wikipedia"
"cewiki",0.988294216267586,0.0117057837324137,"cewiki","Wikipedia"
"chrwiki",0.998599328774983,0.00140067122501739,"chrwiki","Wikipedia"
"chwiki",0.998489425981873,0.00151057401812696,"chwiki","Wikipedia"
"chywiki",0.991285741805876,0.00871425819412383,"chywiki","Wikipedia"
"ckbwiki",0.998169903027716,0.0018300969722841,"ckbwiki","Wikipedia"
"commonswiki",0.738787012650629,0.261212987349371,"commonswiki","Commons"
"cowiki",0.999986520645059,1.34793549413506e-05,"cowiki","Wikipedia"
"crwiki",0.998489425981873,0.00151057401812696,"crwiki","Wikipedia"
"csbwiki",0.994909072493553,0.00509092750644713,"csbwiki","Wikipedia"
"cswiki",0.22593288825541,0.77406711174459,"cswiki","Wikipedia"
"cswikibooks",0.979289237348051,0.0207107626519491,"cswikibooks","Wikibooks"
"cswikiquote",0.985354663032046,0.0146453369679542,"cswikiquote","Wikiquote"
"cuwiki",0.984568168325743,0.0154318316742569,"cuwiki","Wikipedia"
"cvwiki",0.999987038475906,1.29615240943641e-05,"cvwiki","Wikipedia"
"cywiki",0.999132733155482,0.000867266844517501,"cywiki","Wikipedia"
"dawiki",0.446506090329887,0.553493909670113,"dawiki","Wikipedia"
"dewiki",0.0171488953073781,0.982851104692622,"dewiki","Wikipedia"
"dewikibooks",0.998489425981873,0.00151057401812737,"dewikibooks","Wikibooks"
"dewikiquote",0.996438338227663,0.00356166177233687,"dewikiquote","Wikiquote"
"dewikisource",0.974026712019002,0.0259732879809982,"dewikisource","Wikisource"
"diqwiki",0.996749915660148,0.00325008433985182,"diqwiki","Wikipedia"
"dsbwiki",0.990646307179112,0.00935369282088843,"dsbwiki","Wikipedia"
"dtywiki",0.982871262130905,0.0171287378690949,"dtywiki","Wikipedia"
"dvwiki",0.788405235495319,0.211594764504681,"dvwiki","Wikipedia"
"elwiki",0.534170505547613,0.465829494452387,"elwiki","Wikipedia"
"elwikiquote",0.998489425981873,0.00151057401812696,"elwikiquote","Wikiquote"
"elwikisource",0.998489425981873,0.00151057401812691,"elwikisource","Wikisource"
"emlwiki",0.994782560634541,0.00521743936545923,"emlwiki","Wikipedia"
"enwiki",0.303141626114915,0.696858373885085,"enwiki","Wikipedia"
"enwikibooks",0.957827624616314,0.0421723753836859,"enwikibooks","Wikibooks"
"enwikinews",0.665762889750739,0.334237110249261,"enwikinews","Wikinews"
"enwikiquote",0.97138540233549,0.02861459766451,"enwikiquote","Wikiquote"
"enwikisource",0.00151057401812731,0.998489425981873,"enwikisource","Wikisource"
"enwiktionary",0.999532697544409,0.00046730245559062,"enwiktionary","Wiktionary"
"eowiki",0.330225588596073,0.669774411403927,"eowiki","Wikipedia"
"eowikinews",0.97544940985242,0.0245505901475805,"eowikinews","Wikinews"
"eowikiquote",0.995450860947132,0.00454913905286805,"eowikiquote","Wikiquote"
"eswiki",0.0615817148426993,0.938418285157301,"eswiki","Wikipedia"
"eswikibooks",0.998489425981873,0.00151057401812696,"eswikibooks","Wikibooks"
"eswikiquote",0.996626507793554,0.00337349220644643,"eswikiquote","Wikiquote"
"etwiki",0.675278041030222,0.324721958969778,"etwiki","Wikipedia"
"euwiki",0.242129543585192,0.757870456414808,"euwiki","Wikipedia"
"extwiki",0.983395365202639,0.0166046347973611,"extwiki","Wikipedia"
"fawiki",0.0258085740345102,0.97419142596549,"fawiki","Wikipedia"
"fawikiquote",0.994714984841919,0.00528501515808081,"fawikiquote","Wikiquote"
"ffwiki",0.998489425981873,0.00151057401812696,"ffwiki","Wikipedia"
"fiu_vrowiki",0.997544367531733,0.00245563246826708,"fiu_vrowiki","Wikipedia"
"fiwiki",0.0667252370817296,0.93327476291827,"fiwiki","Wikipedia"
"fiwikibooks",0.997719708122344,0.00228029187765651,"fiwikibooks","Wikibooks"
"fjwiki",0.998489425981873,0.00151057401812697,"fjwiki","Wikipedia"
"fowiki",0.99598597095047,0.00401402904953004,"fowiki","Wikipedia"
"frpwiki",0.998489425981873,0.00151057401812699,"frpwiki","Wikipedia"
"frrwiki",0.996039564480973,0.00396043551902727,"frrwiki","Wikipedia"
"frwiki",0.0896473023857955,0.910352697614204,"frwiki","Wikipedia"
"frwikinews",0.998489425981873,0.00151057401812702,"frwikinews","Wikinews"
"frwikiquote",0.992596273626424,0.00740372637357574,"frwikiquote","Wikiquote"
"frwikivoyage",0.00600236995323762,0.993997630046762,"frwikivoyage","Wikivoyage"
"furwiki",0.999986408870345,1.359112965469e-05,"furwiki","Wikipedia"
"fywiki",0.824442344065629,0.175557655934371,"fywiki","Wikipedia"
"gagwiki",0.998489425981873,0.00151057401812692,"gagwiki","Wikipedia"
"ganwiki",0.999365026066648,0.000634973933351705,"ganwiki","Wikipedia"
"gawiki",0.995976314593041,0.00402368540695903,"gawiki","Wikipedia"
"gdwiki",0.999986509967044,1.34900329559933e-05,"gdwiki","Wikipedia"
"glkwiki",0.00151057401812733,0.998489425981873,"glkwiki","Wikipedia"
"glwiki",0.371882923142264,0.628117076857736,"glwiki","Wikipedia"
"gnwiki",0.999129230180667,0.000870769819332514,"gnwiki","Wikipedia"
"gomwiki",0.997080459137149,0.00291954086285116,"gomwiki","Wikipedia"
"guwiki",0.999986374815766,1.36251842334734e-05,"guwiki","Wikipedia"
"gvwiki",0.999338058715947,0.000661941284052615,"gvwiki","Wikipedia"
"hakwiki",0.999987390432006,1.260956799425e-05,"hakwiki","Wikipedia"
"hawiki",0.984057122061982,0.0159428779380184,"hawiki","Wikipedia"
"hawwiki",0.999250913396422,0.000749086603577463,"hawwiki","Wikipedia"
"hewiki",0.386003689156011,0.613996310843989,"hewiki","Wikipedia"
"hewikiquote",0.992394987349113,0.00760501265088703,"hewikiquote","Wikiquote"
"hifwiki",0.999986724331272,1.3275668727705e-05,"hifwiki","Wikipedia"
"hiwiki",0.662567876341537,0.337432123658463,"hiwiki","Wikipedia"
"hiwikibooks",0.996475234584022,0.00352476541597755,"hiwikibooks","Wikibooks"
"hrwiki",0.574498406469703,0.425501593530297,"hrwiki","Wikipedia"
"hrwikiquote",0.998489425981873,0.00151057401812696,"hrwikiquote","Wikiquote"
"hsbwiki",0.996421300855386,0.00357869914461416,"hsbwiki","Wikipedia"
"htwiki",0.997838789802268,0.00216121019773142,"htwiki","Wikipedia"
"huwiki",0.118215974207434,0.881784025792566,"huwiki","Wikipedia"
"hywiki",0.64882655959476,0.35117344040524,"hywiki","Wikipedia"
"hywikiquote",0.998489425981873,0.00151057401812696,"hywikiquote","Wikiquote"
"iawiki",0.999999468829117,5.31170883062337e-07,"iawiki","Wikipedia"
"idwiki",0.376556659582895,0.623443340417105,"idwiki","Wikipedia"
"idwikibooks",0.998489425981873,0.00151057401812693,"idwikibooks","Wikibooks"
"iewiki",0.98697315807017,0.0130268419298298,"iewiki","Wikipedia"
"igwiki",0.756247757570795,0.243752242429205,"igwiki","Wikipedia"
"ikwiki",0.989111724715158,0.0108882752848421,"ikwiki","Wikipedia"
"ilowiki",0.998520579230193,0.00147942076980664,"ilowiki","Wikipedia"
"iowiki",0.998516081350247,0.00148391864975326,"iowiki","Wikipedia"
"iswiki",0.997946079779814,0.00205392022018608,"iswiki","Wikipedia"
"itwiki",0.0312778806828794,0.96872211931712,"itwiki","Wikipedia"
"itwikiquote",0.993290079027298,0.00670992097270239,"itwikiquote","Wikiquote"
"iuwiki",0.9824203178385,0.0175796821615002,"iuwiki","Wikipedia"
"jamwiki",0.998252372429451,0.00174762757054873,"jamwiki","Wikipedia"
"jawiki",0.0279556969870385,0.972044303012962,"jawiki","Wikipedia"
"jawikibooks",0.998489425981873,0.00151057401812704,"jawikibooks","Wikibooks"
"jawikiquote",0.996599642886955,0.00340035711304531,"jawikiquote","Wikiquote"
"jbowiki",0.999986195300366,1.38046996341632e-05,"jbowiki","Wikipedia"
"jvwiki",0.999951515537674,4.84844623256266e-05,"jvwiki","Wikipedia"
"kaawiki",0.99491578459482,0.00508421540517958,"kaawiki","Wikipedia"
"kabwiki",0.992245576604038,0.00775442339596231,"kabwiki","Wikipedia"
"kawiki",0.995277288609483,0.00472271139051679,"kawiki","Wikipedia"
"kbpwiki",0.999975127543884,2.48724561164757e-05,"kbpwiki","Wikipedia"
"kgwiki",0.991497385204871,0.00850261479512934,"kgwiki","Wikipedia"
"kiwiki",0.999197733209586,0.000802266790413647,"kiwiki","Wikipedia"
"kkwiki",0.945028514194613,0.0549714858053872,"kkwiki","Wikipedia"
"klwiki",0.998489425981873,0.00151057401812689,"klwiki","Wikipedia"
"kmwiki",0.997398462840878,0.00260153715912235,"kmwiki","Wikipedia"
"knwiki",0.997194163390275,0.0028058366097255,"knwiki","Wikipedia"
"koiwiki",0.998978982620932,0.00102101737906815,"koiwiki","Wikipedia"
"kowiki",0.360526397303409,0.639473602696591,"kowiki","Wikipedia"
"krcwiki",0.00151057401812723,0.998489425981873,"krcwiki","Wikipedia"
"kshwiki",0.995277838968072,0.0047221610319281,"kshwiki","Wikipedia"
"kswiki",0.997197747275375,0.00280225272462477,"kswiki","Wikipedia"
"kuwiki",0.998371710628306,0.0016282893716938,"kuwiki","Wikipedia"
"kvwiki",0.999986256455359,1.37435446404979e-05,"kvwiki","Wikipedia"
"kwwiki",0.996036338694812,0.00396366130518796,"kwwiki","Wikipedia"
"kywiki",0.821474218356704,0.178525781643296,"kywiki","Wikipedia"
"ladwiki",0.990264243345709,0.00973575665429109,"ladwiki","Wikipedia"
"lawiki",0.8274377942869,0.1725622057131,"lawiki","Wikipedia"
"lawikiquote",0.996846829947407,0.00315317005259258,"lawikiquote","Wikiquote"
"lbewiki",0.996458832558708,0.00354116744129221,"lbewiki","Wikipedia"
"lbwiki",0.998616331272128,0.00138366872787159,"lbwiki","Wikipedia"
"lezwiki",0.995372442083551,0.00462755791644898,"lezwiki","Wikipedia"
"lgwiki",0.998489425981873,0.00151057401812698,"lgwiki","Wikipedia"
"lijwiki",0.999985627245323,1.43727546768881e-05,"lijwiki","Wikipedia"
"liwiki",0.999987987875771,1.20121242295398e-05,"liwiki","Wikipedia"
"lmowiki",0.999981284892761,1.87151072390436e-05,"lmowiki","Wikipedia"
"lnwiki",0.98571187388825,0.01428812611175,"lnwiki","Wikipedia"
"lowiki",0.991505763845669,0.00849423615433076,"lowiki","Wikipedia"
"lrcwiki",0.998489425981873,0.00151057401812706,"lrcwiki","Wikipedia"
"ltgwiki",0.998489425981873,0.00151057401812696,"ltgwiki","Wikipedia"
"ltwiki",0.632650775948454,0.367349224051546,"ltwiki","Wikipedia"
"ltwikiquote",0.994062678034178,0.00593732196582252,"ltwikiquote","Wikiquote"
"lvwiki",0.51990793488575,0.48009206511425,"lvwiki","Wikipedia"
"maiwiki",0.994371096092661,0.00562890390733943,"maiwiki","Wikipedia"
"map_bmswiki",0.998489425981873,0.00151057401812697,"map_bmswiki","Wikipedia"
"mdfwiki",0.998429231364922,0.00157076863507759,"mdfwiki","Wikipedia"
"metawiki",0.620698816886004,0.379301183113996,"metawiki","Other"
"mgwiki",0.985583500169676,0.0144164998303239,"mgwiki","Wikipedia"
"mhrwiki",0.994513748295766,0.00548625170423406,"mhrwiki","Wikipedia"
"minwiki",0.990701574930621,0.00929842506937909,"minwiki","Wikipedia"
"miwiki",0.999455135933301,0.000544864066699107,"miwiki","Wikipedia"
"mkwiki",0.588532410084494,0.411467589915507,"mkwiki","Wikipedia"
"mlwiki",0.991891057933028,0.00810894206697228,"mlwiki","Wikipedia"
"mlwikiquote",0.998489425981873,0.00151057401812697,"mlwikiquote","Wikiquote"
"mnwiki",0.997022034683159,0.00297796531684122,"mnwiki","Wikipedia"
"mrjwiki",0.999986350727889,1.36492721109749e-05,"mrjwiki","Wikipedia"
"mrwiki",0.99717949530543,0.0028205046945696,"mrwiki","Wikipedia"
"mswiki",0.783825332347126,0.216174667652874,"mswiki","Wikipedia"
"mtwiki",0.994919834725002,0.00508016527499843,"mtwiki","Wikipedia"
"mwlwiki",0.931194457189047,0.0688055428109526,"mwlwiki","Wikipedia"
"myvwiki",0.999963318508547,3.66814914528004e-05,"myvwiki","Wikipedia"
"mywiki",0.999094057075033,0.000905942924967109,"mywiki","Wikipedia"
"mznwiki",0.906618671278994,0.093381328721006,"mznwiki","Wikipedia"
"nahwiki",0.998872052770549,0.00112794722945146,"nahwiki","Wikipedia"
"napwiki",0.98635752993123,0.0136424700687702,"napwiki","Wikipedia"
"nawiki",0.98809031396217,0.01190968603783,"nawiki","Wikipedia"
"nds_nlwiki",0.964147582285592,0.0358524177144076,"nds_nlwiki","Wikipedia"
"ndswiki",0.996146856948692,0.00385314305130819,"ndswiki","Wikipedia"
"newiki",0.999475203655933,0.000524796344067097,"newiki","Wikipedia"
"newwiki",0.999338285391809,0.000661714608191434,"newwiki","Wikipedia"
"nlwiki",0.0443308857051672,0.955669114294833,"nlwiki","Wikipedia"
"nlwikibooks",0.983089408976444,0.0169105910235561,"nlwikibooks","Wikibooks"
"nnwiki",0.995324227471258,0.00467577252874221,"nnwiki","Wikipedia"
"nnwikiquote",0.98860317666574,0.01139682333426,"nnwikiquote","Wikiquote"
"novwiki",0.998509104412642,0.00149089558735849,"novwiki","Wikipedia"
"nowiki",0.467139977505308,0.532860022494692,"nowiki","Wikipedia"
"nrmwiki",0.996610194477319,0.00338980552268105,"nrmwiki","Wikipedia"
"nsowiki",0.00770665468766547,0.992293345312334,"nsowiki","Wikipedia"
"nvwiki",0.999164100423376,0.000835899576624422,"nvwiki","Wikipedia"
"ocwiki",0.124401246576091,0.875598753423909,"ocwiki","Wikipedia"
"olowiki",0.999434321119192,0.000565678880807656,"olowiki","Wikipedia"
"omwiki",0.988351374016695,0.0116486259833054,"omwiki","Wikipedia"
"orwiki",0.360151962438377,0.639848037561623,"orwiki","Wikipedia"
"oswiki",0.998005220092163,0.00199477990783702,"oswiki","Wikipedia"
"pamwiki",0.939119027610714,0.0608809723892863,"pamwiki","Wikipedia"
"papwiki",0.960883982351925,0.0391160176480755,"papwiki","Wikipedia"
"pawiki",0.998609432918643,0.00139056708135657,"pawiki","Wikipedia"
"pcdwiki",0.998489425981873,0.00151057401812716,"pcdwiki","Wikipedia"
"pdcwiki",0.955526376760926,0.0444736232390742,"pdcwiki","Wikipedia"
"pflwiki",0.990789740031563,0.00921025996843665,"pflwiki","Wikipedia"
"pihwiki",0.995505324691598,0.00449467530840198,"pihwiki","Wikipedia"
"piwiki",0.999983811907678,1.61880923224024e-05,"piwiki","Wikipedia"
"plwiki",0.0362940816478254,0.963705918352175,"plwiki","Wikipedia"
"plwikiquote",0.996615521192524,0.00338447880747631,"plwikiquote","Wikiquote"
"pmswiki",0.999983625520183,1.63744798169965e-05,"pmswiki","Wikipedia"
"pnbwiki",0.998992082249134,0.00100791775086553,"pnbwiki","Wikipedia"
"pntwiki",0.997164605551561,0.00283539444843881,"pntwiki","Wikipedia"
"pswiki",0.471936400023907,0.528063599976093,"pswiki","Wikipedia"
"ptwiki",0.0408466221574758,0.959153377842524,"ptwiki","Wikipedia"
"ptwikiquote",0.983522719432544,0.0164772805674563,"ptwikiquote","Wikiquote"
"quwiki",0.999987769221183,1.22307788174322e-05,"quwiki","Wikipedia"
"rmwiki",0.993792475557658,0.00620752444234212,"rmwiki","Wikipedia"
"rnwiki",0.998489425981873,0.00151057401812703,"rnwiki","Wikipedia"
"roa_rupwiki",0.999986436494367,1.3563505633049e-05,"roa_rupwiki","Wikipedia"
"rowiki",0.329540761976258,0.670459238023742,"rowiki","Wikipedia"
"ruewiki",0.99860287945482,0.00139712054518061,"ruewiki","Wikipedia"
"ruwiki",0.0932937432758809,0.906706256724119,"ruwiki","Wikipedia"
"ruwikibooks",0.998489425981872,0.00151057401812764,"ruwikibooks","Wikibooks"
"ruwikinews",0.98556942397549,0.0144305760245096,"ruwikinews","Wikinews"
"ruwikiquote",0.753499796698941,0.246500203301059,"ruwikiquote","Wikiquote"
"ruwikisource",0.993803576552655,0.00619642344734516,"ruwikisource","Wikisource"
"rwwiki",0.987454658394998,0.0125453416050022,"rwwiki","Wikipedia"
"sahwiki",0.999971150329091,2.8849670908735e-05,"sahwiki","Wikipedia"
"sawiki",0.999985800097423,1.41999025772771e-05,"sawiki","Wikipedia"
"scnwiki",0.999987779657179,1.22203428209125e-05,"scnwiki","Wikipedia"
"scowiki",0.999404125186322,0.000595874813677509,"scowiki","Wikipedia"
"scwiki",0.996043614345397,0.00395638565460268,"scwiki","Wikipedia"
"sdwiki",0.994052041680901,0.00594795831909927,"sdwiki","Wikipedia"
"sewiki",0.992245653095831,0.00775434690416901,"sewiki","Wikipedia"
"shwiki",0.0119919637978366,0.988008036202163,"shwiki","Wikipedia"
"simplewiki",0.383778510739264,0.616221489260736,"simplewiki","Wikipedia"
"simplewikibooks",0.998489425981873,0.00151057401812696,"simplewikibooks","Wikibooks"
"siwiki",0.994937295700689,0.00506270429931074,"siwiki","Wikipedia"
"skwiki",0.651007426211038,0.348992573788962,"skwiki","Wikipedia"
"skwikiquote",0.995859918957737,0.00414008104226321,"skwikiquote","Wikiquote"
"slwiki",0.35603454164822,0.64396545835178,"slwiki","Wikipedia"
"slwikiquote",0.992245653095831,0.00775434690416901,"slwikiquote","Wikiquote"
"smwiki",0.998489425981873,0.00151057401812696,"smwiki","Wikipedia"
"snwiki",0.995685340656365,0.00431465934363517,"snwiki","Wikipedia"
"sowiki",0.999983753328292,1.62466717076432e-05,"sowiki","Wikipedia"
"sqwiki",0.997988981315442,0.0020110186845577,"sqwiki","Wikipedia"
"srnwiki",0.998489425981873,0.00151057401812689,"srnwiki","Wikipedia"
"srwiki",0.012258897582742,0.987741102417258,"srwiki","Wikipedia"
"srwikiquote",0.964752914344793,0.0352470856552064,"srwikiquote","Wikiquote"
"sswiki",0.998489425981873,0.00151057401812713,"sswiki","Wikipedia"
"stqwiki",0.999986455525415,1.35444745845854e-05,"stqwiki","Wikipedia"
"suwiki",0.998626946550943,0.00137305344905706,"suwiki","Wikipedia"
"svwiki",0.102207011189396,0.897792988810604,"svwiki","Wikipedia"
"swwiki",0.999984738363641,1.52616363588159e-05,"swwiki","Wikipedia"
"szlwiki",0.900738102476274,0.0992618975237258,"szlwiki","Wikipedia"
"tawiki",0.241963137643744,0.758036862356256,"tawiki","Wikipedia"
"tcywiki",0.993477394174539,0.0065226058254606,"tcywiki","Wikipedia"
"test2wiki",0.993450894344909,0.00654910565509112,"test2wiki","Wikipedia"
"testwiki",0.99676138161041,0.0032386183895904,"testwiki","Wikipedia"
"testwikidatawiki",0.978496792565232,0.021503207434768,"testwikidatawiki","Other"
"tewiki",0.536404625158043,0.463595374841957,"tewiki","Wikipedia"
"tgwiki",0.998192220024243,0.00180777997575662,"tgwiki","Wikipedia"
"thwiki",0.362487047027877,0.637512952972124,"thwiki","Wikipedia"
"tiwiki",0.925812033243875,0.0741879667561253,"tiwiki","Wikipedia"
"tkwiki",0.685951300435824,0.314048699564176,"tkwiki","Wikipedia"
"tlwiki",0.986112719190764,0.013887280809236,"tlwiki","Wikipedia"
"towiki",0.998489425981873,0.00151057401812696,"towiki","Wikipedia"
"tpiwiki",0.998489425981873,0.0015105740181272,"tpiwiki","Wikipedia"
"trwiki",0.433041098513116,0.566958901486884,"trwiki","Wikipedia"
"trwikiquote",0.777888693990149,0.222111306009851,"trwikiquote","Wikiquote"
"tswiki",0.998489425981873,0.00151057401812696,"tswiki","Wikipedia"
"ttwiki",0.999986335534761,1.36644652391174e-05,"ttwiki","Wikipedia"
"tyvwiki",0.980971198901275,0.0190288010987248,"tyvwiki","Wikipedia"
"udmwiki",0.998489425981873,0.00151057401812703,"udmwiki","Wikipedia"
"ugwiki",0.999986035755183,1.39642448170974e-05,"ugwiki","Wikipedia"
"ukwiki",0.0264794529617313,0.973520547038269,"ukwiki","Wikipedia"
"ukwikiquote",0.996908461478423,0.00309153852157672,"ukwikiquote","Wikiquote"
"urwiki",0.990784478108843,0.00921552189115672,"urwiki","Wikipedia"
"urwikiquote",0.998489425981873,0.00151057401812696,"urwikiquote","Wikiquote"
"uzwiki",0.995685394559834,0.00431460544016608,"uzwiki","Wikipedia"
"vecwiki",0.993125430577444,0.00687456942255598,"vecwiki","Wikipedia"
"vepwiki",0.999987235373613,1.27646263868181e-05,"vepwiki","Wikipedia"
"viwiki",0.326808033275798,0.673191966724202,"viwiki","Wikipedia"
"viwikisource",0.00151057401812689,0.998489425981873,"viwikisource","Wikisource"
"vlswiki",0.994024529060891,0.00597547093910868,"vlswiki","Wikipedia"
"vowiki",0.998489425981873,0.00151057401812696,"vowiki","Wikipedia"
"warwiki",0.999444239673143,0.000555760326857498,"warwiki","Wikipedia"
"wawiki",0.849615986160554,0.150384013839446,"wawiki","Wikipedia"
"wikidatawiki",0.443436062406316,0.556563937593684,"wikidatawiki","Other"
"wowiki",0.987752325069905,0.0122476749300952,"wowiki","Wikipedia"
"wuuwiki",0.989956767377616,0.0100432326223841,"wuuwiki","Wikipedia"
"xalwiki",0.999986244259158,1.37557408420287e-05,"xalwiki","Wikipedia"
"xhwiki",0.982719942746193,0.0172800572538073,"xhwiki","Wikipedia"
"xmfwiki",0.826667308959643,0.173332691040357,"xmfwiki","Wikipedia"
"yiwiki",0.998150001834333,0.00184999816566687,"yiwiki","Wikipedia"
"yowiki",0.999985120017415,1.48799825847488e-05,"yowiki","Wikipedia"
"zawiki",0.998705983389109,0.00129401661089114,"zawiki","Wikipedia"
"zeawiki",0.998489425981872,0.00151057401812764,"zeawiki","Wikipedia"
"zh_classicalwiki",0.999978799854378,2.12001456222044e-05,"zh_classicalwiki","Wikipedia"
"zh_min_nanwiki",0.999984294207867,1.57057921330273e-05,"zh_min_nanwiki","Wikipedia"
"zh_yuewiki",0.997299311503731,0.00270068849626921,"zh_yuewiki","Wikipedia"
"zhwiki",0.0364465522099318,0.963553447790068,"zhwiki","Wikipedia"
"zhwikibooks",0.998489425981873,0.00151057401812704,"zhwikibooks","Wikibooks"
"zuwiki",0.994590472054296,0.00540952794570434,"zuwiki","Wikipedia"
