"","topic1","topic2","topic3","project","projecttype"
"acewiki",0.793773537532014,0.000408623179105483,0.20581783928888,"acewiki","Wikipedia"
"afwiki",0.999285032873785,0.000101499759517021,0.000613467366697544,"afwiki","Wikipedia"
"alswiki",0.750323066468763,0.236115612347704,0.0135613211835336,"alswiki","Wikipedia"
"amwiki",0.990759628794875,0.000890374510793747,0.00834999669433138,"amwiki","Wikipedia"
"angwiki",0.995214238551508,0.00198832036215567,0.00279744108633661,"angwiki","Wikipedia"
"anwiki",0.972296793588006,0.01839022644571,0.00931297996628391,"anwiki","Wikipedia"
"arwiki",0.996821986809147,2.88954455535365e-06,0.00317512364629736,"arwiki","Wikipedia"
"arzwiki",0.998007002863559,0.000433186091488807,0.00155981104495257,"arzwiki","Wikipedia"
"astwiki",0.980175662846845,0.00110941779067663,0.0187149193624784,"astwiki","Wikipedia"
"aswiki",0.994954497319573,0.00461962654504694,0.000425876135380587,"aswiki","Wikipedia"
"aywiki",0.997455470737913,0.00127226463104326,0.0012722646310433,"aywiki","Wikipedia"
"azbwiki",0.995722703194825,0.0008575858473359,0.00341971095783915,"azbwiki","Wikipedia"
"azwiki",0.999591710591129,0.000108534574919076,0.000299754833951511,"azwiki","Wikipedia"
"barwiki",0.441973117335813,0.472830153779793,0.0851967288843941,"barwiki","Wikipedia"
"bat_smgwiki",0.607760278357007,0.00158302087497531,0.390656700768018,"bat_smgwiki","Wikipedia"
"bawiki",0.998552813404534,7.75170663659155e-05,0.00136966952909965,"bawiki","Wikipedia"
"bclwiki",0.996803520918712,0.00112038174390059,0.00207609733738763,"bclwiki","Wikipedia"
"be_x_oldwiki",0.998938678013483,0.000122432429896171,0.000938889556620571,"be_x_oldwiki","Wikipedia"
"bewiki",0.997987260617167,2.57413817805395e-06,0.00201016524465503,"bewiki","Wikipedia"
"bgwiki",0.99666898362114,0.000244652958749818,0.00308636342011029,"bgwiki","Wikipedia"
"bhwiki",0.996304194220736,0.00112853226716116,0.00256727351210322,"bhwiki","Wikipedia"
"bjnwiki",0.997455470737914,0.00127226463104326,0.00127226463104328,"bjnwiki","Wikipedia"
"bnwiki",0.997922059752351,0.00155222478282645,0.000525715464822482,"bnwiki","Wikipedia"
"bowiki",0.996122008736392,0.000531164099802086,0.00334682716380617,"bowiki","Wikipedia"
"brwiki",0.91408426153488,0.000350755884937381,0.0855649825801829,"brwiki","Wikipedia"
"bswiki",0.997429013385592,0.00117735871789696,0.00139362789651138,"bswiki","Wikipedia"
"bswikiquote",0.997455470737913,0.00127226463104326,0.0012722646310433,"bswikiquote","Wikiquote"
"bxrwiki",0.997455470737914,0.00127226463104326,0.00127226463104334,"bxrwiki","Wikipedia"
"cawiki",0.999001632737951,9.85713289137818e-07,0.000997381548760118,"cawiki","Wikipedia"
"cawikiquote",0.715258178079746,0.000228797440370165,0.284513024479884,"cawikiquote","Wikiquote"
"cawikisource",0.00127226463104326,0.00127226463104326,0.997455470737914,"cawikisource","Wikisource"
"cdowiki",0.993348057167784,0.00063740229179828,0.00601454054041728,"cdowiki","Wikipedia"
"cebwiki",0.999223365323377,0.000397506013482603,0.000379128663140555,"cebwiki","Wikipedia"
"cewiki",0.998946037611911,0.000139294475643173,0.000914667912445641,"cewiki","Wikipedia"
"chrwiki",0.997455470737913,0.00127226463104328,0.00127226463104326,"chrwiki","Wikipedia"
"chywiki",0.997455470737914,0.00127226463104326,0.00127226463104328,"chywiki","Wikipedia"
"ckbwiki",0.998801796752629,0.000280773685331621,0.000917429562039385,"ckbwiki","Wikipedia"
"commonswiki",0.0813262005069358,0.00016728123371686,0.918506518259347,"commonswiki","Commons"
"cowiki",0.874088480257452,0.000658895787204058,0.125252623955344,"cowiki","Wikipedia"
"crhwiki",0.988874194328575,0.00211886874434897,0.00900693692707565,"crhwiki","Wikipedia"
"csbwiki",0.997455470737913,0.00127226463104326,0.0012722646310433,"csbwiki","Wikipedia"
"cswiki",0.639685585975123,0.359799623884892,0.000514790139985252,"cswiki","Wikipedia"
"cswikiquote",0.997455470737913,0.00127226463104326,0.0012722646310434,"cswikiquote","Wikiquote"
"cswikisource",0.788590368005086,0.000503101124085491,0.210906530870829,"cswikisource","Wikisource"
"cuwiki",0.997455470737913,0.00127226463104334,0.0012722646310433,"cuwiki","Wikipedia"
"cvwiki",0.998736460649283,0.000443619785593129,0.000819919565124369,"cvwiki","Wikipedia"
"cywiki",0.981331544726352,8.31608096096574e-05,0.0185852944640381,"cywiki","Wikipedia"
"dawiki",0.245433591644857,0.000971996699768393,0.753594411655374,"dawiki","Wikipedia"
"dewiki",0.333779435597475,0.608921014957906,0.0572995494446187,"dewiki","Wikipedia"
"dewikinews",0.997455470737914,0.00127226463104326,0.00127226463104328,"dewikinews","Wikinews"
"dewikisource",0.997455470737914,0.00127226463104333,0.00127226463104329,"dewikisource","Wikisource"
"dewikivoyage",0.995920073873468,0.00213193049437168,0.00194799563215998,"dewikivoyage","Wikivoyage"
"diqwiki",0.99683252615484,0.00127212200366567,0.00189535184149429,"diqwiki","Wikipedia"
"dsbwiki",0.619855756703199,0.264286556851696,0.115857686445105,"dsbwiki","Wikipedia"
"dtywiki",0.997455470737913,0.00127226463104333,0.00127226463104336,"dtywiki","Wikipedia"
"dvwiki",0.993265337604294,0.00280373711946391,0.0039309252762416,"dvwiki","Wikipedia"
"dzwiki",0.997455470737914,0.00127226463104326,0.00127226463104328,"dzwiki","Wikipedia"
"elwiki",0.989968965748422,0.000809586406464661,0.00922144784511339,"elwiki","Wikipedia"
"elwikivoyage",0.994705106599463,0.00358928916293995,0.00170560423759746,"elwikivoyage","Wikivoyage"
"emlwiki",0.952049580433249,0.0286258798174667,0.019324539749284,"emlwiki","Wikipedia"
"enwiki",0.643130552571153,0.277255506027,0.0796139414018464,"enwiki","Wikipedia"
"enwikinews",0.997455470737913,0.00127226463104326,0.00127226463104331,"enwikinews","Wikinews"
"enwikiquote",0.990116028013637,0.00368861509652454,0.0061953568898381,"enwikiquote","Wikiquote"
"enwikisource",0.980369564596938,0.0117049360861101,0.00792549931695146,"enwikisource","Wikisource"
"enwikivoyage",0.997975554457723,0.000586626472221007,0.00143781907005624,"enwikivoyage","Wikivoyage"
"eowiki",0.993858131404638,0.000485096968980791,0.00565677162638153,"eowiki","Wikipedia"
"eowikinews",0.989584372812443,0.00113603965808539,0.00927958752947172,"eowikinews","Wikinews"
"eswiki",0.803337808926521,0.195680154665757,0.000982036407722049,"eswiki","Wikipedia"
"eswikivoyage",0.994942232287269,0.00135900220557555,0.0036987655071556,"eswikivoyage","Wikivoyage"
"etwiki",0.998803833075472,0.000184935910881534,0.00101123101364666,"etwiki","Wikipedia"
"euwiki",0.961231867597402,9.59237855849724e-05,0.038672208617013,"euwiki","Wikipedia"
"extwiki",0.995820856484877,0.000431222677888651,0.00374792083723403,"extwiki","Wikipedia"
"fawiki",0.999442887830981,0.000296734775945345,0.000260377393073952,"fawiki","Wikipedia"
"fawikiquote",0.997455470737913,0.00127226463104326,0.00127226463104329,"fawikiquote","Wikiquote"
"fiwiki",0.999457963531854,0.000272047146640533,0.000269989321505973,"fiwiki","Wikipedia"
"fiwikivoyage",0.811478007084567,0.178273978918297,0.0102480139971362,"fiwikivoyage","Wikivoyage"
"fowiki",0.981390132355862,0.000437868756231856,0.0181719988879063,"fowiki","Wikipedia"
"frpwiki",0.997455470737913,0.00127226463104352,0.00127226463104342,"frpwiki","Wikipedia"
"frrwiki",0.995397222881151,0.00120141195583446,0.00340136516301491,"frrwiki","Wikipedia"
"frwiki",0.676000346345886,0.229438997725451,0.0945606559286625,"frwiki","Wikipedia"
"frwikinews",0.995525593039728,0.00174051787118939,0.00273388908908306,"frwikinews","Wikinews"
"frwikiquote",0.997455470737913,0.00127226463104326,0.00127226463104334,"frwikiquote","Wikiquote"
"frwikivoyage",0.993618540253933,0.000242148719637136,0.00613931102642985,"frwikivoyage","Wikivoyage"
"fywiki",0.992300542482522,0.0068061241904133,0.000893333327064984,"fywiki","Wikipedia"
"gagwiki",0.997455470737913,0.00127226463104326,0.00127226463104332,"gagwiki","Wikipedia"
"ganwiki",0.643676639147046,0.000742844103913294,0.355580516749041,"ganwiki","Wikipedia"
"gawiki",0.996141478311072,0.000761916440258172,0.0030966052486696,"gawiki","Wikipedia"
"gdwiki",0.968096071590856,9.42917317685981e-05,0.0318096366773758,"gdwiki","Wikipedia"
"glwiki",0.994594041014355,0.000331864028785995,0.00507409495685893,"glwiki","Wikipedia"
"gnwiki",0.99369981035347,0.0011450929467844,0.00515509669974565,"gnwiki","Wikipedia"
"guwiki",0.993747216850788,0.000989557573723284,0.0052632255754885,"guwiki","Wikipedia"
"gvwiki",0.987741134717179,0.0107076580111412,0.00155120727167984,"gvwiki","Wikipedia"
"hakwiki",0.993866210808544,0.0013929353907312,0.00474085380072436,"hakwiki","Wikipedia"
"hewiki",0.996743256628376,3.35451904780938e-05,0.00322319818114626,"hewiki","Wikipedia"
"hewikivoyage",0.996979709347416,0.00121672248108508,0.00180356817149919,"hewikivoyage","Wikivoyage"
"hiwiki",0.996641496125028,0.00017927231614447,0.00317923155882787,"hiwiki","Wikipedia"
"hrwiki",0.992716045435043,0.00297290957365561,0.00431104499130178,"hrwiki","Wikipedia"
"hsbwiki",0.468295926148685,0.524286375526999,0.00741769832431565,"hsbwiki","Wikipedia"
"htwiki",0.997455470737913,0.00127226463104326,0.00127226463104343,"htwiki","Wikipedia"
"huwiki",6.96041398954264e-05,2.54134969444515e-07,0.999930141725135,"huwiki","Wikipedia"
"huwikinews",0.997455470737913,0.00127226463104326,0.00127226463104326,"huwikinews","Wikinews"
"huwikiquote",0.997455470737913,0.00127226463104326,0.0012722646310433,"huwikiquote","Wikiquote"
"hywiki",0.991528702431396,4.79798330862883e-06,0.00846649958529531,"hywiki","Wikipedia"
"iawiki",0.913112380829826,0.000219903977630177,0.0866677151925441,"iawiki","Wikipedia"
"idwiki",0.991987074407259,0.000187144577453349,0.00782578101528814,"idwiki","Wikipedia"
"ilowiki",0.99835156971818,0.000333424393016114,0.00131500588880354,"ilowiki","Wikipedia"
"iowiki",0.991158599998937,0.000304419574529219,0.00853698042653347,"iowiki","Wikipedia"
"iswiki",0.997434335316815,0.00010038802313791,0.00246527666004745,"iswiki","Wikipedia"
"itwiki",0.758052977074412,0.134150023622388,0.1077969993032,"itwiki","Wikipedia"
"itwikinews",0.997455470737913,0.00127226463104328,0.00127226463104337,"itwikinews","Wikinews"
"itwikiquote",0.994612798099644,0.000851304014280875,0.00453589788607514,"itwikiquote","Wikiquote"
"itwikisource",0.788542136734036,0.00025262905324701,0.211205234212717,"itwikisource","Wikisource"
"itwikivoyage",0.997180245841572,0.000553138507301154,0.00226661565112638,"itwikivoyage","Wikivoyage"
"jawiki",0.902350801981368,9.56316168725714e-05,0.09755356640176,"jawiki","Wikipedia"
"jvwiki",0.993118827251607,0.000134061994823448,0.00674711075356999,"jvwiki","Wikipedia"
"kaawiki",0.991459561867418,0.00136205631293881,0.00717838181964356,"kaawiki","Wikipedia"
"kawiki",0.989082856680371,0.000215690158830568,0.0107014531607983,"kawiki","Wikipedia"
"kbpwiki",0.986975176753424,0.00694601864710258,0.00607880459947341,"kbpwiki","Wikipedia"
"kkwiki",0.999135303817679,0.000287019452201192,0.000577676730120029,"kkwiki","Wikipedia"
"kmwiki",0.998653347498788,0.000410495833992486,0.000936156667219324,"kmwiki","Wikipedia"
"knwiki",0.995987934406559,0.00160057381483035,0.00241149177861083,"knwiki","Wikipedia"
"kowiki",0.999313621658759,8.65496183717905e-05,0.00059982872286968,"kowiki","Wikipedia"
"krcwiki",0.996418436728491,0.000637996143510535,0.00294356712799828,"krcwiki","Wikipedia"
"kshwiki",0.479792840648924,0.503751048791469,0.0164561105596079,"kshwiki","Wikipedia"
"kuwiki",0.999156329002204,7.17637669638778e-05,0.000771907230832257,"kuwiki","Wikipedia"
"kwwiki",0.992577391931937,0.00459922916738822,0.00282337890067455,"kwwiki","Wikipedia"
"kywiki",0.998991281908347,0.000216012782653279,0.000792705309000005,"kywiki","Wikipedia"
"ladwiki",0.988400690098427,0.000387599487330449,0.0112117104142424,"ladwiki","Wikipedia"
"lawiki",0.985955875574064,0.00012805708255789,0.0139160673433787,"lawiki","Wikipedia"
"lbwiki",0.40294765245584,0.538932811021715,0.0581195365224451,"lbwiki","Wikipedia"
"lezwiki",0.930134886847537,0.00426161582861483,0.0656034973238479,"lezwiki","Wikipedia"
"lijwiki",0.00127226463104335,0.00127226463104326,0.997455470737913,"lijwiki","Wikipedia"
"liwiki",0.38677285327082,0.520633556390438,0.0925935903387426,"liwiki","Wikipedia"
"lmowiki",0.00080452506153282,4.51353630973039e-05,0.99915033957537,"lmowiki","Wikipedia"
"lowiki",0.990972928803569,0.00105721250636666,0.00796985869006469,"lowiki","Wikipedia"
"lrcwiki",0.983914766081169,0.0064945941035522,0.00959063981527843,"lrcwiki","Wikipedia"
"ltgwiki",0.997455470737913,0.00127226463104326,0.00127226463104328,"ltgwiki","Wikipedia"
"ltwiki",0.999454962966041,0.000358640685263658,0.000186396348694994,"ltwiki","Wikipedia"
"lvwiki",0.999356723777868,0.000228426483049225,0.00041484973908229,"lvwiki","Wikipedia"
"maiwiki",0.996524883785046,0.00180814544806695,0.00166697076688726,"maiwiki","Wikipedia"
"map_bmswiki",0.997455470737913,0.00127226463104326,0.00127226463104332,"map_bmswiki","Wikipedia"
"mdfwiki",0.997455470737914,0.00127226463104326,0.00127226463104333,"mdfwiki","Wikipedia"
"metawiki",0.999386594710665,0.000242420882073812,0.00037098440726153,"metawiki","Other"
"mgwiki",0.889471846534947,0.0838981822607035,0.0266299712043498,"mgwiki","Wikipedia"
"mhrwiki",0.995854295617978,0.0014002833139914,0.00274542106803092,"mhrwiki","Wikipedia"
"miwiki",0.973177060792701,0.000637454842480824,0.0261854843648179,"miwiki","Wikipedia"
"mkwiki",0.999194355065031,7.8295326797497e-05,0.000727349608171852,"mkwiki","Wikipedia"
"mlwiki",0.99924931543167,0.000329484261612965,0.000421200306717043,"mlwiki","Wikipedia"
"mnwiki",0.996159804398699,0.000283608229572643,0.00355658737172867,"mnwiki","Wikipedia"
"mrjwiki",0.990027518101913,0.00122341582299182,0.008749066075095,"mrjwiki","Wikipedia"
"mrwiki",0.995493083541461,0.000646514640775552,0.00386040181776315,"mrwiki","Wikipedia"
"mswiki",0.998881098110466,0.000180739587744373,0.000938162301789669,"mswiki","Wikipedia"
"mtwiki",0.997455470737913,0.00127226463104326,0.00127226463104334,"mtwiki","Wikipedia"
"myvwiki",0.997455470737913,0.00127226463104327,0.00127226463104332,"myvwiki","Wikipedia"
"mywiki",0.99397502774155,0.00041059573921919,0.00561437651923074,"mywiki","Wikipedia"
"mznwiki",0.965541775940146,0.00159745517758015,0.0328607688822737,"mznwiki","Wikipedia"
"nahwiki",0.997455470737913,0.00127226463104326,0.0012722646310433,"nahwiki","Wikipedia"
"napwiki",0.234797511693859,0.726754466284244,0.0384480220218968,"napwiki","Wikipedia"
"nawiki",0.990645594553381,0.00118222606915336,0.00817217937746556,"nawiki","Wikipedia"
"nds_nlwiki",0.781187833467124,0.168725125890559,0.0500870406423177,"nds_nlwiki","Wikipedia"
"ndswiki",0.135546766273812,0.862892972966484,0.00156026075970398,"ndswiki","Wikipedia"
"newiki",0.996103306070329,0.0010527817707374,0.00284391215893329,"newiki","Wikipedia"
"newwiki",0.99902404661062,0.000105775852754289,0.000870177536625877,"newwiki","Wikipedia"
"nlwiki",0.375566775759803,0.601955842366702,0.0224773818734949,"nlwiki","Wikipedia"
"nlwikinews",0.00127226463104403,0.997455470737913,0.00127226463104342,"nlwikinews","Wikinews"
"nlwikivoyage",0.946590212936701,0.00104698696427117,0.0523628000990277,"nlwikivoyage","Wikivoyage"
"nnwiki",0.923068901595766,0.000374114766465619,0.0765569836377685,"nnwiki","Wikipedia"
"nowiki",0.998387281553711,0.000275002047189613,0.00133771639909918,"nowiki","Wikipedia"
"nowikiquote",0.00127226463104336,0.00127226463104326,0.997455470737913,"nowikiquote","Wikiquote"
"nrmwiki",0.984833568963259,0.00112887336753001,0.0140375576692106,"nrmwiki","Wikipedia"
"ocwiki",0.985321180025589,0.000937334922814358,0.0137414850515971,"ocwiki","Wikipedia"
"olowiki",0.997455470737913,0.00127226463104326,0.00127226463104326,"olowiki","Wikipedia"
"orwiki",0.995567861706324,0.00329366698884752,0.00113847130482848,"orwiki","Wikipedia"
"oswiki",0.998217960951327,0.000249234140132096,0.0015328049085407,"oswiki","Wikipedia"
"pamwiki",0.938384930772506,0.0487776240734825,0.0128374451540117,"pamwiki","Wikipedia"
"papwiki",0.997455470737913,0.00127226463104328,0.0012722646310433,"papwiki","Wikipedia"
"pawiki",0.998705233987068,0.000133800098102589,0.00116096591482971,"pawiki","Wikipedia"
"pcdwiki",0.997455470737913,0.00127226463104326,0.00127226463104334,"pcdwiki","Wikipedia"
"pdcwiki",0.535901032869103,0.000637523666926688,0.463461443463971,"pdcwiki","Wikipedia"
"pflwiki",0.997455470737914,0.00127226463104326,0.00127226463104328,"pflwiki","Wikipedia"
"plwiki",0.392117452558127,0.510060970211873,0.0978215772299999,"plwiki","Wikipedia"
"plwikiquote",0.991616439578429,0.00513179212239445,0.00325176829917703,"plwikiquote","Wikiquote"
"plwikisource",0.328730439881808,0.000801465386867238,0.670468094731325,"plwikisource","Wikisource"
"plwikivoyage",0.971560162920433,0.00158497472322306,0.0268548623563436,"plwikivoyage","Wikivoyage"
"pmswiki",0.522090323664772,0.00637234000651444,0.471537336328714,"pmswiki","Wikipedia"
"pnbwiki",0.999380462504792,9.00149469691287e-05,0.000529522548239162,"pnbwiki","Wikipedia"
"pswiki",0.997455470737913,0.00127226463104326,0.00127226463104329,"pswiki","Wikipedia"
"ptwiki",0.9983394525081,0.00113666949641991,0.000523877995479901,"ptwiki","Wikipedia"
"ptwikisource",0.00127226463104341,0.00127226463104326,0.997455470737913,"ptwikisource","Wikisource"
"ptwikivoyage",0.987089746200023,0.0101622030466652,0.00274805075331147,"ptwikivoyage","Wikivoyage"
"quwiki",0.993834558829148,0.00153051888175409,0.0046349222890978,"quwiki","Wikipedia"
"rmwiki",0.413276331315675,0.575803271579178,0.0109203971051472,"rmwiki","Wikipedia"
"roa_tarawiki",0.997455470737913,0.00127226463104326,0.00127226463104331,"roa_tarawiki","Wikipedia"
"rowiki",0.662238420985378,0.337372639023049,0.000388939991573527,"rowiki","Wikipedia"
"rowikisource",0.997455470737913,0.00127226463104326,0.00127226463104326,"rowikisource","Wikisource"
"rowikivoyage",0.997455470737914,0.00127226463104326,0.00127226463104333,"rowikivoyage","Wikivoyage"
"ruewiki",0.995903360959341,0.0022714117518282,0.00182522728883097,"ruewiki","Wikipedia"
"ruwiki",0.999702149895899,8.26338774784568e-05,0.000215216226622451,"ruwiki","Wikipedia"
"ruwikinews",0.995281624415085,0.000316864187713331,0.00440151139720118,"ruwikinews","Wikinews"
"ruwikiquote",0.00127226463104387,0.00127226463104328,0.997455470737913,"ruwikiquote","Wikiquote"
"ruwikisource",0.975531017524106,5.349165505755e-05,0.0244154908208365,"ruwikisource","Wikisource"
"ruwikivoyage",0.998552583254928,0.000844419161748008,0.000602997583323694,"ruwikivoyage","Wikivoyage"
"sahwiki",0.997996240977548,0.000399298998372378,0.00160446002407922,"sahwiki","Wikipedia"
"sawiki",0.991401911863038,0.00205363669712214,0.00654445143983929,"sawiki","Wikipedia"
"scnwiki",0.982399594246231,0.00434350668293271,0.0132568990708361,"scnwiki","Wikipedia"
"scowiki",0.99799765401769,0.00149366791109597,0.000508678071213539,"scowiki","Wikipedia"
"scwiki",0.977223562711157,0.00654353753649291,0.0162328997523507,"scwiki","Wikipedia"
"sdwiki",0.997455470737913,0.00127226463104327,0.00127226463104327,"sdwiki","Wikipedia"
"sewiki",0.992520890258002,0.000532383126510808,0.00694672661548687,"sewiki","Wikipedia"
"shwiki",0.998978149753896,0.000636653873277683,0.00038519637282647,"shwiki","Wikipedia"
"simplewiki",0.998710120289123,0.000277639878473061,0.00101223983240369,"simplewiki","Wikipedia"
"siwiki",0.995021301487454,0.00246639242776166,0.00251230608478395,"siwiki","Wikipedia"
"skwiki",0.488315041850578,0.511257915241706,0.000427042907716159,"skwiki","Wikipedia"
"slwiki",0.99467365897156,6.34638753428995e-05,0.00526287715309741,"slwiki","Wikipedia"
"sowiki",0.99504620671334,0.000642883038989845,0.00431091024766993,"sowiki","Wikipedia"
"sqwiki",0.994661796070922,0.000755231182969194,0.00458297274610877,"sqwiki","Wikipedia"
"srwiki",0.999364105959789,0.000214609200345491,0.000421284839865457,"srwiki","Wikipedia"
"stqwiki",0.928589907863068,0.04346245864879,0.0279476334881422,"stqwiki","Wikipedia"
"suwiki",0.988823149244983,0.00545532353189922,0.00572152722311739,"suwiki","Wikipedia"
"svwiki",0.725179161403913,0.274314192233823,0.000506646362263443,"svwiki","Wikipedia"
"svwikivoyage",0.918886923425192,0.0640338931408687,0.0170791834339396,"svwikivoyage","Wikivoyage"
"swwiki",0.998076587310037,0.000161299907344267,0.00176211278261829,"swwiki","Wikipedia"
"szlwiki",0.993439436452051,0.00110204345977112,0.00545852008817761,"szlwiki","Wikipedia"
"tawiki",0.999533414113231,0.00015863262442628,0.000307953262343114,"tawiki","Wikipedia"
"test2wiki",0.00127226463104326,0.997455470737913,0.0012722646310434,"test2wiki","Wikipedia"
"testwiki",0.00127226463104326,0.997455470737913,0.0012722646310434,"testwiki","Wikipedia"
"tewiki",0.997891136707039,0.000626994473178074,0.00148186881978279,"tewiki","Wikipedia"
"tgwiki",0.991031943245948,0.000888205926264218,0.00807985082778771,"tgwiki","Wikipedia"
"thwiki",0.998595040606388,0.000295997720444868,0.00110896167316688,"thwiki","Wikipedia"
"tiwiki",0.997455470737913,0.00127226463104326,0.00127226463104331,"tiwiki","Wikipedia"
"tkwiki",0.994401897227072,0.00110032111355935,0.00449778165936843,"tkwiki","Wikipedia"
"tlwiki",0.995742738833754,0.00166686170454185,0.00259039946170393,"tlwiki","Wikipedia"
"trwiki",0.800793680462657,0.198732119126976,0.000474200410367039,"trwiki","Wikipedia"
"ttwiki",0.999970288268397,1.47254974684916e-05,1.49862341344203e-05,"ttwiki","Wikipedia"
"tyvwiki",0.992942112916019,0.00161887987659684,0.00543900720738401,"tyvwiki","Wikipedia"
"udmwiki",0.993479894994139,0.000677241070058666,0.00584286393580195,"udmwiki","Wikipedia"
"ugwiki",0.994229548431177,0.00107001969577734,0.00470043187304592,"ugwiki","Wikipedia"
"ukwiki",0.997491780075283,7.44767436892228e-05,0.00243374318102817,"ukwiki","Wikipedia"
"ukwikiquote",0.996641313081108,0.00252790398224408,0.00083078293664811,"ukwikiquote","Wikiquote"
"urwiki",0.999462297712804,0.00014911409301577,0.000388588194180311,"urwiki","Wikipedia"
"uzwiki",0.995238597520353,8.54071201244371e-05,0.00467599535952195,"uzwiki","Wikipedia"
"vecwiki",0.945281413290199,0.00494907464958437,0.0497695120602163,"vecwiki","Wikipedia"
"vepwiki",0.994189712785028,0.00443723721639102,0.00137304999858124,"vepwiki","Wikipedia"
"viwiki",0.999472342925209,0.000218651305954181,0.000309005768836901,"viwiki","Wikipedia"
"viwikivoyage",0.997455470737913,0.00127226463104326,0.00127226463104338,"viwikivoyage","Wikivoyage"
"vlswiki",0.737506436111417,0.248846918078665,0.0136466458099179,"vlswiki","Wikipedia"
"vowiki",0.997455470737913,0.00127226463104326,0.00127226463104398,"vowiki","Wikipedia"
"warwiki",0.997266363253812,0.000198496958845089,0.00253513978734343,"warwiki","Wikipedia"
"wawiki",0.993041950221113,0.00051714006925006,0.00644090970963691,"wawiki","Wikipedia"
