"","topic1","topic2","topic3","project","projecttype"
"cswikiquote",0.993640020681981,0.00357946959061598,0.00278050972740284,"cswikiquote","Wikiquote"
"cswikisource",0.874934866897687,0.00975336088310969,0.115311772219203,"cswikisource","Wikisource"
"cvwiki",0.953762096720643,0.0117240442307812,0.0345138590485755,"cvwiki","Wikipedia"
"cywiki",0.98917301098923,0.0104476893797529,0.000379299631017203,"cywiki","Wikipedia"
"cywikiquote",0.196485546934945,0.303425398867426,0.500089054197629,"cywikiquote","Wikiquote"
"cywikisource",0.000780640124902882,0.998438719750194,0.000780640124902816,"cywikisource","Wikisource"
"dawiki",0.994609598342646,0.00368554713547691,0.0017048545218774,"dawiki","Wikipedia"
"dawikiquote",0.806868738475832,0.155939095196254,0.0371921663279134,"dawikiquote","Wikiquote"
"dawikisource",0.835926258346022,0.144703489730486,0.0193702519234923,"dawikisource","Wikisource"
"dewiki",0.993677071989236,0.00294026738789464,0.00338266062286887,"dewiki","Wikipedia"
"dewikibooks",0.183089575827818,0.0203430680697422,0.796567356102439,"dewikibooks","Wikibooks"
"dewikiquote",0.960043949173721,0.0241172490852866,0.0158388017409918,"dewikiquote","Wikiquote"
"dewikisource",0.969838469183975,0.0244828589905031,0.00567867182552178,"dewikisource","Wikisource"
"dewikivoyage",0.998438719750194,0.000780640124903002,0.000780640124902463,"dewikivoyage","Wikivoyage"
"dinwiki",0.475372968521762,0.484622218313343,0.040004813164895,"dinwiki","Wikipedia"
"diqwiki",0.972694671177605,0.0168502368048544,0.0104550920175408,"diqwiki","Wikipedia"
"dsbwiki",0.753358338883532,0.201975268775065,0.0446663923414023,"dsbwiki","Wikipedia"
"dtywiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"dtywiki","Wikipedia"
"dvwiki",0.705398025254399,0.256018754132932,0.0385832206126697,"dvwiki","Wikipedia"
"eewiki",0.000780640124902882,0.998438719750194,0.000780640124902816,"eewiki","Wikipedia"
"elwiki",0.990139523954128,0.00751330641881068,0.0023471696270618,"elwiki","Wikipedia"
"elwikibooks",0.00039105651536646,0.000391650700068367,0.999217292784565,"elwikibooks","Wikibooks"
"elwikiquote",0.830495089401492,0.0566386375477987,0.112866273050709,"elwikiquote","Wikiquote"
"elwikisource",0.991008184722354,0.0043070802947307,0.0046847349829158,"elwikisource","Wikisource"
"emlwiki",0.574670228252804,0.0220240609288087,0.403305710818387,"emlwiki","Wikipedia"
"enwiki",0.985862336185904,0.00766792774001385,0.00646973607408165,"enwiki","Wikipedia"
"enwikibooks",0.635520315963401,0.0121622830312113,0.352317401005388,"enwikibooks","Wikibooks"
"enwikiquote",0.999261692502411,0.000349999111706708,0.000388308385881805,"enwikiquote","Wikiquote"
"enwikisource",0.936907882509329,0.00931942312912918,0.0537726943615416,"enwikisource","Wikisource"
"enwikivoyage",0.841748943578469,0.0613898412923791,0.0968612151291526,"enwikivoyage","Wikivoyage"
"eowiki",0.986813555364194,0.00286545467034782,0.0103209899654579,"eowiki","Wikipedia"
"eowikiquote",0.899655489618017,0.0708188327517604,0.0295256776302222,"eowikiquote","Wikiquote"
"eowikisource",0.957836165291877,0.0153176005505383,0.0268462341575846,"eowikisource","Wikisource"
"eswiki",0.992931919930727,0.000196244772728738,0.00687183529654433,"eswiki","Wikipedia"
"eswikibooks",0.278571924291799,0.0277866511413494,0.693641424566852,"eswikibooks","Wikibooks"
"eswikiquote",0.99810350911047,0.00101708196149137,0.000879408928038795,"eswikiquote","Wikiquote"
"eswikisource",0.992240430310068,0.0034858149820795,0.00427375470785217,"eswikisource","Wikisource"
"etwiki",0.985343536701577,0.0089665777084241,0.00568988558999898,"etwiki","Wikipedia"
"etwikiquote",0.987628425603997,0.00565608882140526,0.00671548557459746,"etwikiquote","Wikiquote"
"etwikisource",0.914858313463418,0.00672798412346115,0.0784137024131208,"etwikisource","Wikisource"
"euwiki",0.999749968647856,0.000120299029352882,0.00012973232279043,"euwiki","Wikipedia"
"euwikiquote",0.613917369496061,0.141072110324506,0.245010520179433,"euwikiquote","Wikiquote"
"extwiki",0.928501510964501,0.0597017178684933,0.0117967711670061,"extwiki","Wikipedia"
"fawiki",0.996832954009006,0.00226735389117566,0.000899692099818679,"fawiki","Wikipedia"
"fawikiquote",0.991418621911889,0.000962796254693679,0.00761858183341735,"fawikiquote","Wikiquote"
"fawikisource",0.963158732148598,0.0334953559746103,0.00334591187679194,"fawikisource","Wikisource"
"ffwiki",0.998438719750195,0.000780640124902866,0.000780640124902655,"ffwiki","Wikipedia"
"fiu_vrowiki",0.845360421397269,0.0646477479281998,0.0899918306745309,"fiu_vrowiki","Wikipedia"
"fiwiki",0.999524157989596,0.000104518078677772,0.000371323931726257,"fiwiki","Wikipedia"
"fiwikibooks",0.00026081724334524,0.000261260053017777,0.999477922703637,"fiwikibooks","Wikibooks"
"fiwikiquote",0.939799309226384,0.0363373608332492,0.0238633299403672,"fiwikiquote","Wikiquote"
"fiwikisource",0.965330867637141,0.0269190252249218,0.00775010713793674,"fiwikisource","Wikisource"
"fjwiki",0.267597949005024,0.714503849677619,0.0178982013173567,"fjwiki","Wikipedia"
"fowiki",0.910291823761481,0.048153399929347,0.0415547763091717,"fowiki","Wikipedia"
