"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","project","projecttype"
"aawiki",0.000237416904084314,0.000237416904083571,0.998100664767331,0.000237416904083652,0.000237416904083576,0.000237416904083571,0.000237416904083579,0.000237416904083571,0.000237416904083636,"aawiki","Wikipedia"
"abwiki",0.00140602024392989,0.000132654170995441,0.00165696009234341,3.97078438871932e-05,1.56711237093665e-05,0.539997469359614,0.456707046405357,1.64342608238993e-06,4.28273340811872e-05,"abwiki","Wikipedia"
"acewiki",0.960808279431663,0.00220214058021794,0.0291652490752649,0.00372118563416882,0.00155074748809406,8.22401335180497e-05,0.000311635560532618,0.000164498191431834,0.00199402390510863,"acewiki","Wikipedia"
"adywiki",0.938524502017889,0.0102098659807091,0.0349934693569297,0.00634086129887532,0.00252562773885375,0.00439805701581429,0.000254046122898549,0.000166382299759793,0.00258718816827038,"adywiki","Wikipedia"
"afwiki",0.827950319111685,0.161608010769252,0.00138947302687945,0.000160924620055393,0.00349843438109813,1.26871404038617e-05,3.69082454674135e-05,7.44047462582662e-05,0.00526883795890013,"afwiki","Wikipedia"
"akwiki",0.530784298517017,0.2007712314465,0.263090569325188,0.00197457038949594,0.000162385957664335,8.05213093311292e-05,0.00104468611285762,7.9364897263113e-05,0.00201237204468387,"akwiki","Wikipedia"
"alswiki",0.772380753756417,0.218103303106495,0.000657100251495294,0.000284100922868293,0.00833473940574609,5.74069873254282e-06,7.2604755491478e-05,3.83595070643579e-05,0.000123297595690003,"alswiki","Wikipedia"
"amwiki",0.993595001328009,0.00295315446961113,0.00188602698407983,0.000415716064486191,0.000558671528736322,2.33926623808178e-05,3.33751909719249e-05,0.000156122446092278,0.000378539325632956,"amwiki","Wikipedia"
"angwiki",0.950238865572589,0.00545655338267032,0.00384786491972786,0.00247832883901005,0.0355789555600795,1.18339789078547e-05,0.000356560830416436,0.000305892779717545,0.00172514413688191,"angwiki","Wikipedia"
"angwikiquote",0.946954258128771,0.0300397270799368,0.0055811634895583,0.00889296331333359,0.00464563128563163,5.13677159953815e-05,0.000180330779600254,4.76027318955934e-05,0.00360695547527726,"angwikiquote","Wikiquote"
"anwiki",0.591181384678073,0.402061327842039,0.000384846442639022,0.000118893439627269,0.00517504733444019,2.8201134509944e-06,8.29387941930991e-05,1.42148721554904e-05,0.000978526483382071,"anwiki","Wikipedia"
"arcwiki",0.973602717481275,0.00141795099082483,0.00588404320795134,0.00255322373444847,0.0124015454140801,3.08391127259341e-05,0.00305537115794264,5.95934089208061e-05,0.000994715491830497,"arcwiki","Wikipedia"
"arwiki",5.82147056952124e-05,1.25427074256673e-05,7.99894414667092e-07,1.30477279397212e-05,3.54942352433182e-05,2.61639094643005e-05,9.85904266154485e-09,6.91922538021601e-06,0.999846807735394,"arwiki","Wikipedia"
"arwikibooks",0.998100664767331,0.000237416904083623,0.000237416904083622,0.000237416904083616,0.000237416904083599,0.000237416904083571,0.000237416904083577,0.000237416904083571,0.000237416904083591,"arwikibooks","Wikibooks"
"arwikiquote",0.977891588326875,0.0175315765479496,0.00102793996763899,0.000671414691547111,0.00147651978243745,1.5654966367502e-05,8.72452445470209e-05,2.75790055051871e-05,0.00127048146713208,"arwikiquote","Wikiquote"
"arwikisource",0.995738232824454,0.00187757150348697,0.000390194630438192,0.000381196643456187,0.000686922997637807,1.47623845277049e-05,0.000157621406752924,8.63886566134136e-05,0.000667108952632965,"arwikisource","Wikisource"
"arzwiki",0.990566500374732,0.000751587377643998,0.00108275232272691,0.000264146746370478,0.00214485671858508,3.50984604955612e-06,2.88967871182248e-05,1.81079955149969e-05,0.00513964183125877,"arzwiki","Wikipedia"
"astwiki",0.73464485216399,0.00238642665973047,0.248595926951165,0.000120574318614438,0.0139983539240948,1.43413818227479e-05,3.8269764572818e-05,3.12547854568357e-05,0.000170000050553397,"astwiki","Wikipedia"
"aswiki",0.972830244611577,0.00271457994311971,0.00123405563280038,0.000346451031214615,0.000541525733372607,7.90983424388336e-06,4.41568611130098e-05,4.94361212310001e-05,0.0222316402313272,"aswiki","Wikipedia"
"atjwiki",0.000237416904084314,0.000237416904083571,0.998100664767331,0.000237416904083652,0.000237416904083576,0.000237416904083571,0.000237416904083579,0.000237416904083571,0.000237416904083636,"atjwiki","Wikipedia"
"avwiki",0.918575213490253,0.000217046022367585,0.000260402365704881,0.0801692649554058,0.000172747612513128,4.66655984389136e-06,0.000367019784658477,9.80292128525497e-06,0.000223836287967902,"avwiki","Wikipedia"
"aywiki",0.980027082244686,0.000600334144575813,0.00602692277440613,0.00128982914029855,0.00903340454878956,2.6915765771942e-05,0.00239772337461546,4.3640617003477e-05,0.000554147389853375,"aywiki","Wikipedia"
"azbwiki",0.982393391289858,0.00302123022807144,0.00236063315927878,0.000615799927644788,0.00249174462540532,8.4000716733928e-06,0.000236845817608863,0.00812574585347255,0.000746209026986528,"azbwiki","Wikipedia"
