"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","project","projecttype"
"abwiki",0.993134152340765,0.000164397828127386,0.00120583708436325,0.00274682945895845,0.000613707408639278,0.000814964613205538,0.00122346938377418,9.66418821669119e-05,"abwiki","Wikipedia"
"acewiki",0.417579981336169,0.581383572997235,0.000215019925710333,0.000306880080586502,2.29012557670724e-06,0.000479326430285247,3.83785718083422e-06,2.90912472563511e-05,"acewiki","Wikipedia"
"adywiki",0.975390190281425,0.00305971268496701,0.00214332265622698,0.00882391354841599,0.00120888041157776,0.00881591696994108,0.000329773661108238,0.000228289786338376,"adywiki","Wikipedia"
"afwiki",0.81962714701064,0.175240312788233,0.000167913216140363,9.71935651852199e-05,4.61516395079485e-05,0.0047905534357607,3.0230881869967e-05,4.97462662675482e-07,"afwiki","Wikipedia"
"afwikiquote",0.959627840778995,0.000371924675867779,0.000479613006827491,0.000396869190426838,0.0375453491075445,0.00119507175216038,0.000324658421675285,5.86730665029871e-05,"afwikiquote","Wikiquote"
"akwiki",0.976264574879729,0.0162686386731238,0.000789499937959702,0.00335985270838889,1.70203163075795e-05,0.00297432688050593,3.26599971179524e-05,0.000293426606866842,"akwiki","Wikipedia"
"alswiki",0.969780260910311,0.00103703846407601,0.0273105719899086,0.000232378124686725,6.89023171545239e-05,0.00143805889790093,0.000131995144528528,7.94151433448772e-07,"alswiki","Wikipedia"
"amwiki",0.996534928549704,0.000302963113757328,8.04978115008158e-05,0.000132268061240238,0.00030076173867824,0.00260028238488766,3.63196225876487e-05,1.1978717644112e-05,"amwiki","Wikipedia"
"angwiki",0.998337260349375,0.000495097264393301,0.000377579505168752,0.000350040757606224,4.11750489570728e-05,0.000338789734454186,3.85548001852367e-05,2.1502539859911e-05,"angwiki","Wikipedia"
"angwikiquote",0.894955437429769,0.000309373933285097,0.00902701997760962,0.0116719879621903,0.0192007945041679,0.0222691368612566,0.041637879817275,0.000928369514447118,"angwikiquote","Wikiquote"
"anwiki",0.653348704325761,0.341078915477055,0.000214948686124055,0.000108490605569823,0.000115634256015392,0.00510982418142764,2.32389068085287e-05,2.43561237945336e-07,"anwiki","Wikipedia"
"arcwiki",0.996629858331279,0.000949164926711817,0.000618691770160665,0.000781996929903029,9.07848188752384e-05,0.000543255379058639,0.000299013278812214,8.72345651990784e-05,"arcwiki","Wikipedia"
"arwiki",0.000224678091743764,0.000177419278839992,0.14393646203899,0.0341974115664917,3.71692468358703e-06,0.82146028409761,1.72077632685885e-08,1.07938777198361e-08,"arwiki","Wikipedia"
"arwikibooks",0.87734943518816,0.00116622674602235,0.03278343448118,0.0610581911921037,0.000136033832868752,0.026511775351337,0.000264219813912786,0.00073068339441497,"arwikibooks","Wikibooks"
"arwikinews",0.99679836344037,0.000132328810966042,0.000945963950384745,0.000678503932515772,7.92193554339794e-06,0.00129939727040368,1.74985623115865e-05,0.000120022097504843,"arwikinews","Wikinews"
"arwikiquote",0.998661820020388,0.000144393163839662,0.000147100418675412,0.000188288942061618,0.000530083256346965,0.000253045398033275,5.94870524018423e-05,1.57817482531917e-05,"arwikiquote","Wikiquote"
"arwikisource",0.988020330731223,0.000378931559877133,0.00146584611374497,0.00255419051299448,0.000526134543283549,0.00559028211699183,0.00128071488528965,0.000183569536595382,"arwikisource","Wikisource"
"arzwiki",0.895338554907856,0.101728399580769,0.000174472228521801,0.000115549278402375,0.000179949857535021,0.00243842142432794,1.85184743259628e-05,6.13424826161997e-06,"arzwiki","Wikipedia"
"astwiki",0.614258614434643,0.382022749845286,0.000238701572573573,7.75739043183754e-05,6.68255623215702e-05,0.00331692658350384,1.83640519794177e-05,2.44045374279534e-07,"astwiki","Wikipedia"
