"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","topic9","topic10","project","projecttype"
"abwiki",0.00144093686295992,1.20499681165091e-05,9.19109319362972e-06,8.30719485270478e-06,1.19535812987244e-05,6.5481812694244e-06,0.664424320042448,0.0031678959412124,0.330900313965505,1.84831691437164e-05,"abwiki","Wikipedia"
"acewiki",0.758523179872121,0.14997910831358,0.00152022178831392,0.00561270383847167,0.00375147612925665,0.000888417768245017,0.0400639666811345,0.0396069806590847,2.08450650597842e-05,3.3099884733359e-05,"acewiki","Wikipedia"
"adywiki",0.932699206096174,0.00864694413749598,0.0103480137943519,0.00882794517792734,0.0326963717842006,0.00469479894431982,0.000450473313670162,0.00146887610484492,8.86624374852328e-05,7.87082095298112e-05,"adywiki","Wikipedia"
"afwiki",0.966217702560559,0.0174253299344419,0.00343182413535282,0.00251604310350443,0.00372917596655187,9.78011264407302e-05,0.00057205456749567,0.00600929545501231,3.75923123216836e-07,3.97227517892258e-07,"afwiki","Wikipedia"
"akwiki",0.920719561692423,0.0008701840093888,0.000167146036074181,0.00693596608872686,0.000429707021164855,0.000308956253846501,0.0333155542363562,0.0372083839744587,1.72980718662625e-05,2.72426156948978e-05,"akwiki","Wikipedia"
"alswiki",0.893539317451124,0.0687912418746271,0.0288282664062227,0.000611557413733363,0.000927257622772399,0.00175783195389547,0.00277520530858284,0.0027671011532104,1.08547898576276e-06,1.13533684637524e-06,"alswiki","Wikipedia"
"amwiki",0.853271632656719,0.0817793943113966,0.00152127279548616,0.0379278842441072,0.00203474040491318,0.000554436421219669,0.0107189240193196,0.0121672852579972,6.32409953636177e-06,1.81057893053589e-05,"amwiki","Wikipedia"
"angwiki",0.944820350510397,0.0316914952273644,0.000339040253752862,0.00370499030224556,0.00567859891655899,0.000928397045692589,0.00616942009530569,0.00663008327199666,4.23582012492139e-06,3.33885565610816e-05,"angwiki","Wikipedia"
"anwiki",0.869798899476326,0.0238612441534315,0.00716189773198266,0.035427168780345,0.0625916288501327,0.000295889604335612,0.000422791709846224,0.000434137103588004,1.06085210237537e-06,5.28173790993684e-06,"anwiki","Wikipedia"
"arcwiki",0.783452846845395,0.122621555124609,0.00354253029339132,0.00522150085816821,0.00323345784646758,0.00116046907652316,0.0399560119105432,0.0407562250659811,2.180822472262e-05,3.35947541981036e-05,"arcwiki","Wikipedia"
"arwiki",7.18148134709214e-05,0.0708499006670951,0.595995524430591,0.0475813275666703,0.000595569234089388,0.284540608475969,2.14120307947538e-05,0.000339369807553834,1.86937196917012e-06,2.60360179623113e-06,"arwiki","Wikipedia"
"arwikibooks",0.962706042693637,0.0131318044265361,0.00502148602367731,0.00265889037717286,0.0119581281604021,0.00330309031222762,0.000273481961590807,0.000608831661733167,0.000117787115536743,0.000220457267486257,"arwikibooks","Wikibooks"
"arwikinews",0.9939228083843,0.00102795790083516,0.00134338626635991,0.000420389703233052,0.00254813951228928,0.000639664538762541,3.51889208402872e-05,4.61346683822404e-05,6.7363625762674e-06,9.59374242155921e-06,"arwikinews","Wikinews"
"arwikiquote",0.931890960962937,0.00579666088995597,0.00320372054500511,0.051986221704323,0.00360692100252629,0.00226001523837,0.000153064410284258,0.000942543169404927,5.89283000938677e-05,0.000100963777099677,"arwikiquote","Wikiquote"
"arwikisource",0.834546185211553,0.0281719723177552,0.0399986346635486,0.0105224604690386,0.0686464271521922,0.0168966592481175,0.00033730854408526,0.000602681352311454,0.000117786835056769,0.000159884206340884,"arwikisource","Wikisource"
"arzwiki",0.898335795567823,0.0934930480299196,0.000353148992116406,0.000574439905369518,0.000739062587677069,0.00050454833301733,0.0028484086761057,0.00314930799132696,1.09507716894974e-06,1.14483947598556e-06,"arzwiki","Wikipedia"
"astwiki",0.0683670699635315,0.660856976702709,0.00154618043275021,0.267523742698944,0.000139436940212922,6.39371170560529e-05,0.000107849200422622,0.00139457888752891,1.12534541689022e-07,1.15522303130179e-07,"astwiki","Wikipedia"
"aswiki",0.94569567724173,0.000344087530968901,0.00155297990268785,0.00103392953515211,0.00165267953796132,0.00056295975093009,0.0258297786854178,0.0233115375118401,6.23545146964404e-06,1.0134851842497e-05,"aswiki","Wikipedia"
"avwiki",0.615343472701852,0.0173938352811205,0.30185294459799,0.000581914613181201,0.00437452722322795,0.000913719025416081,0.0362644706695954,0.0232571371688137,7.14662476179252e-06,1.0832094041362e-05,"avwiki","Wikipedia"
