"","topic1","topic2","project","projecttype"
"afwiki",0.909364318676543,0.0906356813234575,"afwiki","Wikipedia"
"anwiki",0.997576154109203,0.00242384589079661,"anwiki","Wikipedia"
"arwiki",0.999226358767376,0.000773641232623752,"arwiki","Wikipedia"
"astwiki",0.99081956023317,0.00918043976683034,"astwiki","Wikipedia"
"azbwiki",0.97357789472113,0.0264221052788704,"azbwiki","Wikipedia"
"azwiki",0.977403981268846,0.0225960187311542,"azwiki","Wikipedia"
"barwiki",0.995283018867924,0.00471698113207563,"barwiki","Wikipedia"
"be_x_oldwiki",0.977075485227715,0.0229245147722849,"be_x_oldwiki","Wikipedia"
"bewiki",0.99060722883036,0.00939277116963967,"bewiki","Wikipedia"
"bgwiki",0.994227916487265,0.00577208351273476,"bgwiki","Wikipedia"
"bnwiki",0.982450053561715,0.017549946438285,"bnwiki","Wikipedia"
"brwiki",0.995283018867924,0.00471698113207573,"brwiki","Wikipedia"
"bswiki",0.995622011139938,0.00437798886006227,"bswiki","Wikipedia"
"cawiki",8.54414647802161e-06,0.999991455853522,"cawiki","Wikipedia"
"ckbwiki",0.96971057597582,0.0302894240241799,"ckbwiki","Wikipedia"
"commonswiki",0.988757463713223,0.0112425362867769,"commonswiki","Commons"
"cswiki",0.998964678977034,0.00103532102296603,"cswiki","Wikipedia"
"dawiki",7.95013955964094e-06,0.99999204986044,"dawiki","Wikipedia"
"dewiki",0.99952322622527,0.000476773774730002,"dewiki","Wikipedia"
"dvwiki",0.995000735056728,0.0049992649432722,"dvwiki","Wikipedia"
"elwiki",0.989828249190101,0.0101717508098992,"elwiki","Wikipedia"
"enwiki",0.827562863607291,0.172437136392709,"enwiki","Wikipedia"
"eowiki",0.967769339142894,0.0322306608571057,"eowiki","Wikipedia"
"eswiki",0.999007156193608,0.000992843806392093,"eswiki","Wikipedia"
"etwiki",0.755671647342738,0.244328352657262,"etwiki","Wikipedia"
"euwiki",8.50676810392821e-06,0.999991493231896,"euwiki","Wikipedia"
"extwiki",0.995283018867924,0.00471698113207562,"extwiki","Wikipedia"
"fawiki",0.99954811835567,0.000451881644329787,"fawiki","Wikipedia"
"fiwiki",0.997218500799295,0.00278149920070499,"fiwiki","Wikipedia"
"frwiki",0.99895408317973,0.0010459168202702,"frwiki","Wikipedia"
"gawiki",0.993790631902069,0.0062093680979311,"gawiki","Wikipedia"
"glwiki",0.998546326822218,0.00145367317778187,"glwiki","Wikipedia"
"hewiki",0.997912581520152,0.00208741847984825,"hewiki","Wikipedia"
"hiwiki",0.994409580742251,0.00559041925774942,"hiwiki","Wikipedia"
"hrwiki",0.995394582246159,0.00460541775384083,"hrwiki","Wikipedia"
"huwiki",0.997224271513577,0.00277572848642263,"huwiki","Wikipedia"
"hywiki",0.997075166392103,0.0029248336078972,"hywiki","Wikipedia"
"iawiki",0.995283018867924,0.00471698113207563,"iawiki","Wikipedia"
"idwiki",0.998009968271487,0.00199003172851331,"idwiki","Wikipedia"
"iowiki",0.939692218834711,0.0603077811652893,"iowiki","Wikipedia"
"iswiki",0.978084809105791,0.021915190894209,"iswiki","Wikipedia"
"itwiki",0.999455403865389,0.000544596134611513,"itwiki","Wikipedia"
"itwikiquote",0.901486745491265,0.0985132545087347,"itwikiquote","Wikiquote"
"jawiki",0.999611853636564,0.000388146363435674,"jawiki","Wikipedia"
"jvwiki",0.968817017702169,0.0311829822978315,"jvwiki","Wikipedia"
"kawiki",0.947819517297755,0.0521804827022453,"kawiki","Wikipedia"
"kkwiki",0.989816912609905,0.0101830873900945,"kkwiki","Wikipedia"
"knwiki",0.949748729417419,0.0502512705825815,"knwiki","Wikipedia"
"kowiki",0.993345642454407,0.00665435754559252,"kowiki","Wikipedia"
"kshwiki",0.995283018867925,0.00471698113207547,"kshwiki","Wikipedia"
"kuwiki",0.96122952991914,0.0387704700808605,"kuwiki","Wikipedia"
"kywiki",0.947507576689102,0.0524924233108976,"kywiki","Wikipedia"
"lawiki",0.972755932658301,0.0272440673416993,"lawiki","Wikipedia"
"lmowiki",0.995283018867925,0.00471698113207547,"lmowiki","Wikipedia"
"ltwiki",0.81675899301926,0.18324100698074,"ltwiki","Wikipedia"
"lvwiki",0.989012744431668,0.0109872555683325,"lvwiki","Wikipedia"
"mkwiki",0.995793051770265,0.00420694822973487,"mkwiki","Wikipedia"
"mlwiki",0.966318435115823,0.0336815648841769,"mlwiki","Wikipedia"
"mrwiki",0.964618680230417,0.035381319769583,"mrwiki","Wikipedia"
"mswiki",0.97037306471122,0.0296269352887805,"mswiki","Wikipedia"
"mywiki",0.995283018867924,0.00471698113207563,"mywiki","Wikipedia"
"ndswiki",0.986011187639698,0.0139888123603024,"ndswiki","Wikipedia"
"nlwiki",0.995722156317095,0.00427784368290539,"nlwiki","Wikipedia"
"nnwiki",0.999419845171221,0.000580154828779472,"nnwiki","Wikipedia"
"nowiki",0.996175179742383,0.00382482025761654,"nowiki","Wikipedia"
"ocwiki",0.989672376918715,0.0103276230812852,"ocwiki","Wikipedia"
"orwiki",0.932518218075966,0.0674817819240338,"orwiki","Wikipedia"
"pamwiki",0.954172671130683,0.0458273288693169,"pamwiki","Wikipedia"
"pawiki",0.992458156173305,0.00754184382669489,"pawiki","Wikipedia"
"plwiki",0.999335587502285,0.000664412497714501,"plwiki","Wikipedia"
"pnbwiki",0.995283018867924,0.00471698113207563,"pnbwiki","Wikipedia"
