"","topic1","topic2","topic3","topic4","topic5","topic6","topic7","topic8","project","projecttype"
"abwiki",7.34710764497251e-08,7.32363488775417e-08,7.32789620571846e-08,7.37366955908886e-08,8.23899543353664e-08,0.684125831784422,2.60907463800366e-06,0.315871183027903,"abwiki","Wikipedia"
"acewiki",0.997632827634472,0.00158688233524628,0.000475684241974442,0.000138543949100155,0.000103928228239572,1.90470702124156e-05,2.02557927390939e-05,2.28307480158576e-05,"acewiki","Wikipedia"
"adywiki",0.965210441531952,0.0194014230793848,0.00351229736760686,0.00222671368327563,0.00853509265293976,0.000200003522226888,0.000697676881456075,0.000216351281157638,"adywiki","Wikipedia"
"afwiki",0.617572017336392,0.377318246401346,0.00067709549680096,0.0032909592939919,0.000774284550433646,1.13178406788286e-06,0.000130171032489023,0.000236094104478891,"afwiki","Wikipedia"
"akwiki",0.000360230547551087,0.997478386167146,0.000360230547550467,0.000360230547550432,0.000360230547550729,0.000360230547550432,0.000360230547550433,0.000360230547550437,"akwiki","Wikipedia"
"alswiki",0.714106686516488,0.226773449888322,0.00454857574758821,0.00882984119367488,0.0321898178284222,3.60647132468636e-06,0.0135242023832268,2.3819970952975e-05,"alswiki","Wikipedia"
"amwiki",0.978468913108201,0.00480123934892954,0.015053673698828,0.000458399478309785,0.000950745131875106,1.82936364802846e-05,0.000188808572543048,5.99270248330959e-05,"amwiki","Wikipedia"
"angwiki",0.973327199693844,0.0168884909446626,0.0051855076002664,0.000230602237773918,0.00407771082725551,1.51345726965051e-05,0.000224006898566823,5.13472249346183e-05,"angwiki","Wikipedia"
"anwiki",0.546224979731132,0.380255261301702,0.0719789489747924,5.05818824960956e-05,0.00119498171813724,3.31008475378708e-06,0.000277156829375492,1.4779477611535e-05,"anwiki","Wikipedia"
"arcwiki",0.865908830419254,0.0035849324979944,0.00106423796095138,0.000196665600410735,0.0167307114642701,5.15890044179032e-05,0.112394597312682,6.843574001929e-05,"arcwiki","Wikipedia"
"arwiki",0.0058260362050937,1.65035591507613e-05,0.312340218814162,0.680830308892925,1.58745542042646e-05,0.000193279472165522,0.000777712419203156,6.60830947890244e-08,"arwiki","Wikipedia"
"arwikibooks",0.997478386167147,0.000360230547550495,0.000360230547550456,0.000360230547550446,0.000360230547550471,0.000360230547550433,0.000360230547550433,0.000360230547550432,"arwikibooks","Wikibooks"
"arwikinews",0.997478386167147,0.000360230547550461,0.000360230547550472,0.000360230547550432,0.000360230547550432,0.000360230547550432,0.000360230547550432,0.000360230547550432,"arwikinews","Wikinews"
"arwikiquote",0.996330063473246,0.00146373464000868,0.00138443181265348,0.000446484319189504,9.02794326242131e-05,9.02527627815459e-05,0.000101614096717152,9.31394627793304e-05,"arwikiquote","Wikiquote"
"arwikisource",0.000360230547551172,0.997478386167146,0.000360230547550653,0.000360230547550432,0.000360230547550432,0.000360230547550433,0.000360230547550432,0.000360230547550435,"arwikisource","Wikisource"
"arzwiki",0.958804710814159,0.00214258539987491,0.0144231814159402,9.94351421197102e-05,0.0013192273921418,0.00020834264052154,0.0229901372347408,1.23799605024979e-05,"arzwiki","Wikipedia"
"astwiki",0.121621238856636,0.000567599698561274,0.857572062694964,0.000776080355076868,0.0111213121254566,0.0036203327073918,0.00472086595078416,5.07611128962047e-07,"astwiki","Wikipedia"
"aswiki",0.944616156625491,0.00107358466498227,0.00048082583130238,0.00010669427743962,0.00099738442178652,1.39136702550013e-05,0.0526937180589389,1.77224498043619e-05,"aswiki","Wikipedia"
"avwiki",0.349300343537783,0.0016784653961104,0.024102301926624,0.615569784191251,0.000324714469736148,1.41705533021889e-05,0.00894148758905395,6.87323361391839e-05,"avwiki","Wikipedia"
"aywiki",0.658030372221793,0.00151755483064341,0.318013123458925,0.00318814558842808,0.0169925315334822,9.31292718098807e-05,0.00174010967358317,0.00042503342133528,"aywiki","Wikipedia"
"azbwiki",0.538795605051808,0.00130480411768628,0.43858604653944,0.000128815582990249,0.0208750605775564,4.82184590815173e-06,0.000285165186123833,1.96810984864923e-05,"azbwiki","Wikipedia"
"azwiki",0.0119464516658822,0.00398023733646236,5.61341505526936e-08,1.55132338196203e-08,4.35257777484791e-07,0.637488083920505,0.000106388188571582,0.346478331983417,"azwiki","Wikipedia"
"azwikibooks",0.00886829779015351,0.174441773676593,0.267511223081882,0.00068444478384531,0.0607495290517275,0.000180375224566052,0.486142560838318,0.00142179555291418,"azwikibooks","Wikibooks"
"azwikisource",1.27174378260242e-05,1.86029143701893e-06,9.41695118424496e-07,1.940182316653e-06,1.938378339041e-05,0.646560242371577,0.00399329146807946,0.349409622770255,"azwikisource","Wikisource"
"barwiki",0.307636800838179,0.568729897335857,0.0603494812434021,0.0329162771924491,0.0193137127135118,5.63617522507228e-06,0.00147807175673895,0.00957012274463698,"barwiki","Wikipedia"
"bat_smgwiki",0.71481791074307,0.252024411890072,0.0269648965820103,0.000687283965095469,0.00496877073816558,2.55038346502177e-05,0.00030551965632511,0.00020570259061123,"bat_smgwiki","Wikipedia"
"bawiki",0.0493740403157094,8.96928098644879e-05,0.000280018418178522,0.0862456720205984,0.000117154838275412,0.620236100133019,6.01622063112457e-05,0.243597159258043,"bawiki","Wikipedia"
